Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
0,83;0,831;0,83;1997-02-02-00:00:00;1997-02-02-00:00:00;1997-02-02-00:00:00
0,83;0,831;0,83;1997-02-03-00:00:00;1997-02-03-00:00:00;1997-02-03-00:00:00
0,83;0,762;0,79;1997-02-04-00:00:00;1997-02-0409:45:00;1997-02-04-00:00:00
0,76;0,762;0,76;1997-02-05-00:00:00;1997-02-05-00:00:00;1997-02-05-00:00:00
0,76;0,762;0,76;1997-02-06-00:00:00;1997-02-06-00:00:00;1997-02-06-00:00:00
0,76;0,762;0,76;1997-02-07-00:00:00;1997-02-07-00:00:00;1997-02-07-00:00:00
0,76;0,762;0,76;1997-02-08-00:00:00;1997-02-08-00:00:00;1997-02-08-00:00:00
0,76;0,762;0,76;1997-02-09-00:00:00;1997-02-09-00:00:00;1997-02-09-00:00:00
0,76;0,762;0,76;1997-02-10-00:00:00;1997-02-10-00:00:00;1997-02-10-00:00:00
6,28;0,762;1,13;1997-02-1109:45:00;1997-02-11-00:00:00;1997-02-11-00:00:00
0,9;0,9;0,9;1997-02-12-00:00:00;1997-02-12-00:00:00;1997-02-12-00:00:00
0,9;0,9;0,9;1997-02-13-00:00:00;1997-02-13-00:00:00;1997-02-13-00:00:00
0,9;0,693;0,82;1997-02-14-00:00:00;1997-02-1415:00:00;1997-02-14-00:00:00
0,69;0,693;0,69;1997-02-15-00:00:00;1997-02-15-00:00:00;1997-02-15-00:00:00
0,69;0,624;0,64;1997-02-16-00:00:00;1997-02-1606:00:00;1997-02-16-00:00:00
0,62;0,624;0,62;1997-02-17-00:00:00;1997-02-17-00:00:00;1997-02-17-00:00:00
0,62;0,624;0,62;1997-02-18-00:00:00;1997-02-18-00:00:00;1997-02-18-00:00:00
0,62;0,624;0,62;1997-02-19-00:00:00;1997-02-19-00:00:00;1997-02-19-00:00:00
0,62;0,624;0,62;1997-02-20-00:00:00;1997-02-20-00:00:00;1997-02-20-00:00:00
0,62;0,624;0,62;1997-02-21-00:00:00;1997-02-21-00:00:00;1997-02-21-00:00:00
0,62;0,624;0,62;1997-02-22-00:00:00;1997-02-22-00:00:00;1997-02-22-00:00:00
0,62;0,624;0,62;1997-02-23-00:00:00;1997-02-23-00:00:00;1997-02-23-00:00:00
0,62;0,624;0,62;1997-02-24-00:00:00;1997-02-24-00:00:00;1997-02-24-00:00:00
0,62;0,555;0,58;1997-02-25-00:00:00;1997-02-2509:45:00;1997-02-25-00:00:00
0,56;0,555;0,56;1997-02-26-00:00:00;1997-02-26-00:00:00;1997-02-26-00:00:00
0,56;0,486;0,53;1997-02-27-00:00:00;1997-02-2714:00:00;1997-02-27-00:00:00
0,56;0,486;0,55;1997-02-2802:45:00;1997-02-28-00:00:00;1997-02-28-00:00:00
0,56;0,555;0,56;1997-03-01-00:00:00;1997-03-01-00:00:00;1997-03-01-00:00:00
0,56;0,555;0,56;1997-03-02-00:00:00;1997-03-02-00:00:00;1997-03-02-00:00:00
0,56;0,486;0,53;1997-03-03-00:00:00;1997-03-0312:30:00;1997-03-03-00:00:00
7,58;0,555;0,9;1997-03-0411:15:00;1997-03-04-00:00:00;1997-03-04-00:00:00
0,56;0,555;0,56;1997-03-05-00:00:00;1997-03-05-00:00:00;1997-03-05-00:00:00
0,56;0,486;0,53;1997-03-06-00:00:00;1997-03-0615:00:00;1997-03-06-00:00:00
0,49;0,486;0,49;1997-03-07-00:00:00;1997-03-07-00:00:00;1997-03-07-00:00:00
0,56;0,486;0,51;1997-03-0815:30:00;1997-03-08-00:00:00;1997-03-08-00:00:00
0,56;0,555;0,56;1997-03-09-00:00:00;1997-03-09-00:00:00;1997-03-09-00:00:00
0,56;0,555;0,56;1997-03-10-00:00:00;1997-03-10-00:00:00;1997-03-10-00:00:00
0,56;0,555;0,56;1997-03-11-00:00:00;1997-03-11-00:00:00;1997-03-11-00:00:00
0,56;0,486;0,53;1997-03-12-00:00:00;1997-03-1209:45:00;1997-03-12-00:00:00
0,62;0,555;0,62;1997-03-1300:30:00;1997-03-13-00:00:00;1997-03-13-00:00:00
0,69;0,624;0,63;1997-03-1422:00:00;1997-03-14-00:00:00;1997-03-14-00:00:00
0,69;0,624;0,65;1997-03-15-00:00:00;1997-03-1509:15:00;1997-03-15-00:00:00
0,69;0,624;0,64;1997-03-1601:15:00;1997-03-16-00:00:00;1997-03-16-00:00:00
0,69;0,624;0,64;1997-03-1706:00:00;1997-03-17-00:00:00;1997-03-17-00:00:00
0,69;0,624;0,64;1997-03-18-00:00:00;1997-03-1803:30:00;1997-03-18-00:00:00
0,62;0,624;0,62;1997-03-19-00:00:00;1997-03-19-00:00:00;1997-03-19-00:00:00
0,69;0,624;0,69;1997-03-2002:30:00;1997-03-20-00:00:00;1997-03-20-00:00:00
0,69;0,624;0,65;1997-03-21-00:00:00;1997-03-2105:15:00;1997-03-21-00:00:00
0,69;0,624;0,64;1997-03-22-00:00:00;1997-03-2207:15:00;1997-03-22-00:00:00
0,62;0,624;0,62;1997-03-23-00:00:00;1997-03-23-00:00:00;1997-03-23-00:00:00
;;;;;1997-03-24-00:00:00
;;;;;1997-03-25-00:00:00
0,69;0,693;0,69;1997-03-2612:00:00;1997-03-2612:00:00;1997-03-26-00:00:00
0,76;0,693;0,7;1997-03-2718:30:00;1997-03-27-00:00:00;1997-03-27-00:00:00
0,76;0,693;0,71;1997-03-2801:15:00;1997-03-28-00:00:00;1997-03-28-00:00:00
0,69;0,624;0,63;1997-03-29-00:00:00;1997-03-2901:45:00;1997-03-29-00:00:00
0,62;0,624;0,62;1997-03-30-00:00:00;1997-03-30-00:00:00;1997-03-30-00:00:00
0,62;0,624;0,62;1997-03-31-00:00:00;1997-03-31-00:00:00;1997-03-31-00:00:00
7,32;0,624;0,94;1997-04-0109:30:00;1997-04-01-00:00:00;1997-04-01-00:00:00
0,62;0,624;0,62;1997-04-02-00:00:00;1997-04-02-00:00:00;1997-04-02-00:00:00
0,62;0,624;0,62;1997-04-03-00:00:00;1997-04-03-00:00:00;1997-04-03-00:00:00
0,62;0,624;0,62;1997-04-04-00:00:00;1997-04-04-00:00:00;1997-04-04-00:00:00
0,62;0,624;0,62;1997-04-05-00:00:00;1997-04-05-00:00:00;1997-04-05-00:00:00
0,62;0,624;0,62;1997-04-06-00:00:00;1997-04-06-00:00:00;1997-04-06-00:00:00
0,83;0,624;0,74;1997-04-0711:15:00;1997-04-07-00:00:00;1997-04-07-00:00:00
0,83;0,831;0,83;1997-04-08-00:00:00;1997-04-08-00:00:00;1997-04-08-00:00:00
0,83;0,831;0,83;1997-04-09-00:00:00;1997-04-09-00:00:00;1997-04-09-00:00:00
0,83;0,831;0,83;1997-04-10-00:00:00;1997-04-10-00:00:00;1997-04-10-00:00:00
0,83;0,831;0,83;1997-04-11-00:00:00;1997-04-11-00:00:00;1997-04-11-00:00:00
0,83;0,831;0,83;1997-04-12-00:00:00;1997-04-12-00:00:00;1997-04-12-00:00:00
0,83;0,831;0,83;1997-04-13-00:00:00;1997-04-13-00:00:00;1997-04-13-00:00:00
0,83;0,762;0,79;1997-04-14-00:00:00;1997-04-1411:15:00;1997-04-14-00:00:00
0,76;0,762;0,76;1997-04-15-00:00:00;1997-04-15-00:00:00;1997-04-15-00:00:00
0,76;0,762;0,76;1997-04-16-00:00:00;1997-04-16-00:00:00;1997-04-16-00:00:00
0,76;0,762;0,76;1997-04-17-00:00:00;1997-04-17-00:00:00;1997-04-17-00:00:00
0,76;0,762;0,76;1997-04-18-00:00:00;1997-04-18-00:00:00;1997-04-18-00:00:00
0,76;0,762;0,76;1997-04-19-00:00:00;1997-04-19-00:00:00;1997-04-19-00:00:00
0,76;0,762;0,76;1997-04-20-00:00:00;1997-04-20-00:00:00;1997-04-20-00:00:00
0,76;0,762;0,76;1997-04-21-00:00:00;1997-04-21-00:00:00;1997-04-21-00:00:00
0,76;0,762;0,76;1997-04-22-00:00:00;1997-04-22-00:00:00;1997-04-22-00:00:00
0,76;0,762;0,76;1997-04-23-00:00:00;1997-04-23-00:00:00;1997-04-23-00:00:00
0,83;0,762;0,8;1997-04-2412:30:00;1997-04-24-00:00:00;1997-04-24-00:00:00
0,83;0,831;0,83;1997-04-25-00:00:00;1997-04-25-00:00:00;1997-04-25-00:00:00
0,83;0,831;0,83;1997-04-26-00:00:00;1997-04-26-00:00:00;1997-04-26-00:00:00
0,83;0,762;0,77;1997-04-27-00:00:00;1997-04-2704:30:00;1997-04-27-00:00:00
0,76;0,762;0,76;1997-04-28-00:00:00;1997-04-28-00:00:00;1997-04-28-00:00:00
0,76;0,762;0,76;1997-04-29-00:00:00;1997-04-29-00:00:00;1997-04-29-00:00:00
0,76;0,762;0,76;1997-04-30-00:00:00;1997-04-30-00:00:00;1997-04-30-00:00:00
0,83;0,762;0,82;1997-05-0102:15:00;1997-05-01-00:00:00;1997-05-01-00:00:00
0,83;0,831;0,83;1997-05-02-00:00:00;1997-05-02-00:00:00;1997-05-02-00:00:00
0,83;0,831;0,83;1997-05-03-00:00:00;1997-05-03-00:00:00;1997-05-03-00:00:00
0,83;0,831;0,83;1997-05-04-00:00:00;1997-05-04-00:00:00;1997-05-04-00:00:00
0,83;0,831;0,83;1997-05-05-00:00:00;1997-05-05-00:00:00;1997-05-05-00:00:00
0,83;0,831;0,83;1997-05-06-00:00:00;1997-05-06-00:00:00;1997-05-06-00:00:00
0,83;0,831;0,83;1997-05-07-00:00:00;1997-05-07-00:00:00;1997-05-07-00:00:00
0,83;0,831;0,83;1997-05-08-00:00:00;1997-05-08-00:00:00;1997-05-08-00:00:00
0,83;0,831;0,83;1997-05-09-00:00:00;1997-05-09-00:00:00;1997-05-09-00:00:00
0,83;0,831;0,83;1997-05-10-00:00:00;1997-05-10-00:00:00;1997-05-10-00:00:00
0,83;0,831;0,83;1997-05-11-00:00:00;1997-05-11-00:00:00;1997-05-11-00:00:00
0,83;0,831;0,83;1997-05-12-00:00:00;1997-05-12-00:00:00;1997-05-12-00:00:00
5,5;0,831;1,01;1997-05-1311:30:00;1997-05-13-00:00:00;1997-05-13-00:00:00
0,83;0,831;0,83;1997-05-14-00:00:00;1997-05-14-00:00:00;1997-05-14-00:00:00
0,83;0,831;0,83;1997-05-15-00:00:00;1997-05-15-00:00:00;1997-05-15-00:00:00
0,83;0,831;0,83;1997-05-16-00:00:00;1997-05-16-00:00:00;1997-05-16-00:00:00
0,83;0,831;0,83;1997-05-17-00:00:00;1997-05-17-00:00:00;1997-05-17-00:00:00
0,83;0,762;0,83;1997-05-18-00:00:00;1997-05-1815:30:00;1997-05-18-00:00:00
0,83;0,831;0,83;1997-05-19-00:00:00;1997-05-19-00:00:00;1997-05-19-00:00:00
0,83;0,831;0,83;1997-05-20-00:00:00;1997-05-20-00:00:00;1997-05-20-00:00:00
0,83;0,831;0,83;1997-05-21-00:00:00;1997-05-21-00:00:00;1997-05-21-00:00:00
0,83;0,831;0,83;1997-05-22-00:00:00;1997-05-22-00:00:00;1997-05-22-00:00:00
0,83;0,831;0,83;1997-05-23-00:00:00;1997-05-23-00:00:00;1997-05-23-00:00:00
0,83;0,831;0,83;1997-05-24-00:00:00;1997-05-24-00:00:00;1997-05-24-00:00:00
0,83;0,831;0,83;1997-05-25-00:00:00;1997-05-25-00:00:00;1997-05-25-00:00:00
2,71;0,831;0,89;1997-05-2610:00:00;1997-05-26-00:00:00;1997-05-26-00:00:00
1,01;0,831;0,84;1997-05-2720:30:00;1997-05-27-00:00:00;1997-05-27-00:00:00
0,83;0,831;0,83;1997-05-28-00:00:00;1997-05-28-00:00:00;1997-05-28-00:00:00
0,83;0,831;0,83;1997-05-29-00:00:00;1997-05-29-00:00:00;1997-05-29-00:00:00
0,83;0,831;0,83;1997-05-30-00:00:00;1997-05-30-00:00:00;1997-05-30-00:00:00
0,83;0,831;0,83;1997-05-31-00:00:00;1997-05-31-00:00:00;1997-05-31-00:00:00
0,83;0,831;0,83;1997-06-01-00:00:00;1997-06-01-00:00:00;1997-06-01-00:00:00
0,83;0,831;0,83;1997-06-02-00:00:00;1997-06-02-00:00:00;1997-06-02-00:00:00
8,04;0,831;1,19;1997-06-0311:45:00;1997-06-03-00:00:00;1997-06-03-00:00:00
1,01;0,831;0,87;1997-06-0404:45:00;1997-06-04-00:00:00;1997-06-04-00:00:00
0,83;0,831;0,83;1997-06-05-00:00:00;1997-06-05-00:00:00;1997-06-05-00:00:00
0,83;0,831;0,83;1997-06-06-00:00:00;1997-06-06-00:00:00;1997-06-06-00:00:00
0,83;0,762;0,8;1997-06-07-00:00:00;1997-06-0713:15:00;1997-06-07-00:00:00
0,76;0,762;0,76;1997-06-08-00:00:00;1997-06-08-00:00:00;1997-06-08-00:00:00
0,76;0,762;0,76;1997-06-09-00:00:00;1997-06-09-00:00:00;1997-06-09-00:00:00
0,76;0,762;0,76;1997-06-10-00:00:00;1997-06-10-00:00:00;1997-06-10-00:00:00
0,76;0,762;0,76;1997-06-11-00:00:00;1997-06-11-00:00:00;1997-06-11-00:00:00
0,76;0,762;0,76;1997-06-12-00:00:00;1997-06-12-00:00:00;1997-06-12-00:00:00
0,76;0,762;0,76;1997-06-13-00:00:00;1997-06-13-00:00:00;1997-06-13-00:00:00
0,76;0,762;0,76;1997-06-14-00:00:00;1997-06-14-00:00:00;1997-06-14-00:00:00
0,76;0,762;0,76;1997-06-15-00:00:00;1997-06-15-00:00:00;1997-06-15-00:00:00
0,76;0,762;0,76;1997-06-16-00:00:00;1997-06-16-00:00:00;1997-06-16-00:00:00
0,76;0,762;0,76;1997-06-17-00:00:00;1997-06-17-00:00:00;1997-06-17-00:00:00
0,76;0,762;0,76;1997-06-18-00:00:00;1997-06-18-00:00:00;1997-06-18-00:00:00
0,76;0,762;0,76;1997-06-19-00:00:00;1997-06-19-00:00:00;1997-06-19-00:00:00
0,76;0,762;0,76;1997-06-20-00:00:00;1997-06-20-00:00:00;1997-06-20-00:00:00
0,76;0,762;0,76;1997-06-21-00:00:00;1997-06-21-00:00:00;1997-06-21-00:00:00
0,83;0,762;0,82;1997-06-22-00:00:00;1997-06-22-00:00:00;1997-06-22-00:00:00
0,83;0,831;0,83;1997-06-23-00:00:00;1997-06-23-00:00:00;1997-06-23-00:00:00
0,83;0,762;0,79;1997-06-24-00:00:00;1997-06-2409:15:00;1997-06-24-00:00:00
0,76;0,693;0,76;1997-06-25-00:00:00;1997-06-2514:45:00;1997-06-25-00:00:00
13,32;0,762;6,29;1997-06-2613:00:00;1997-06-26-00:00:00;1997-06-26-00:00:00
13,32;9,428;13,21;1997-06-27-00:00:00;1997-06-2705:45:00;1997-06-27-00:00:00
13,32;12,2;12,99;1997-06-28-00:00:00;1997-06-2819:30:00;1997-06-28-00:00:00
13,88;12,76;13,31;1997-06-2912:30:00;1997-06-29-00:00:00;1997-06-29-00:00:00
13,88;13,88;13,88;1997-06-30-00:00:00;1997-06-30-00:00:00;1997-06-30-00:00:00
13,88;13,88;13,88;1997-07-01-00:00:00;1997-07-01-00:00:00;1997-07-01-00:00:00
25,89;7,32;12,09;1997-07-0219:30:00;1997-07-0214:15:00;1997-07-02-00:00:00
9,43;8,966;9,18;1997-07-0313:00:00;1997-07-03-00:00:00;1997-07-03-00:00:00
9,43;4,095;6,95;1997-07-04-00:00:00;1997-07-0417:00:00;1997-07-04-00:00:00
4,1;4,095;4,1;1997-07-05-00:00:00;1997-07-05-00:00:00;1997-07-05-00:00:00
4,1;4,095;4,1;1997-07-06-00:00:00;1997-07-06-00:00:00;1997-07-06-00:00:00
9,89;4,095;7,26;1997-07-0712:15:00;1997-07-07-00:00:00;1997-07-07-00:00:00
15;9,428;10,5;1997-07-0811:45:00;1997-07-0800:45:00;1997-07-08-00:00:00
12,76;6,8;9,86;1997-07-0901:30:00;1997-07-0900:30:00;1997-07-09-00:00:00
9,89;2,328;5,99;1997-07-10-00:00:00;1997-07-1014:15:00;1997-07-10-00:00:00
2,96;2,832;2,83;1997-07-1113:15:00;1997-07-11-00:00:00;1997-07-11-00:00:00
2,83;2,832;2,83;1997-07-12-00:00:00;1997-07-12-00:00:00;1997-07-12-00:00:00
3,56;2,202;2,88;1997-07-1320:00:00;1997-07-1301:15:00;1997-07-13-00:00:00
3,21;2,706;2,79;1997-07-1404:45:00;1997-07-1400:45:00;1997-07-14-00:00:00
2,71;2,58;2,7;1997-07-15-00:00:00;1997-07-1522:30:00;1997-07-15-00:00:00
3,74;1,635;2,54;1997-07-1613:15:00;1997-07-1615:00:00;1997-07-16-00:00:00
2,45;2,454;2,45;1997-07-17-00:00:00;1997-07-17-00:00:00;1997-07-17-00:00:00
2,45;2,328;2,35;1997-07-18-00:00:00;1997-07-1803:45:00;1997-07-18-00:00:00
2,33;2,328;2,33;1997-07-19-00:00:00;1997-07-19-00:00:00;1997-07-19-00:00:00
2,45;2,202;2,34;1997-07-2013:15:00;1997-07-2003:00:00;1997-07-20-00:00:00
2,45;2,454;2,45;1997-07-21-00:00:00;1997-07-21-00:00:00;1997-07-21-00:00:00
2,58;2,328;2,46;1997-07-2202:30:00;1997-07-22-00:00:00;1997-07-22-00:00:00
2,58;2,454;2,51;1997-07-2312:30:00;1997-07-23-00:00:00;1997-07-23-00:00:00
2,58;2,58;2,58;1997-07-24-00:00:00;1997-07-24-00:00:00;1997-07-24-00:00:00
2,58;2,58;2,58;1997-07-25-00:00:00;1997-07-25-00:00:00;1997-07-25-00:00:00
2,58;2,58;2,58;1997-07-26-00:00:00;1997-07-26-00:00:00;1997-07-26-00:00:00
