Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
9,04;8,7;8,81;1997-02-02-00:00:00;1997-02-0207:30:00;1997-02-02-00:00:00
8,7;8,415;8,54;1997-02-03-00:00:00;1997-02-0309:45:00;1997-02-03-00:00:00
8,42;8,13;8,3;1997-02-04-00:00:00;1997-02-0411:00:00;1997-02-04-00:00:00
8,13;7,845;8,12;1997-02-05-00:00:00;1997-02-0522:45:00;1997-02-05-00:00:00
8,13;7,56;7,82;1997-02-0603:15:00;1997-02-0616:15:00;1997-02-06-00:00:00
7,85;7,56;7,75;1997-02-07-00:00:00;1997-02-0708:00:00;1997-02-07-00:00:00
7,85;7,56;7,64;1997-02-0807:00:00;1997-02-08-00:00:00;1997-02-08-00:00:00
7,56;7,56;7,56;1997-02-09-00:00:00;1997-02-09-00:00:00;1997-02-09-00:00:00
8,13;6,99;7,55;1997-02-1020:00:00;1997-02-1013:15:00;1997-02-10-00:00:00
7,56;7,275;7,5;1997-02-11-00:00:00;1997-02-1113:45:00;1997-02-11-00:00:00
8,13;6,99;7,32;1997-02-1215:15:00;1997-02-1217:45:00;1997-02-12-00:00:00
7,28;7,275;7,28;1997-02-13-00:00:00;1997-02-13-00:00:00;1997-02-13-00:00:00
7,28;7,275;7,28;1997-02-14-00:00:00;1997-02-14-00:00:00;1997-02-14-00:00:00
7,56;6,705;7,19;1997-02-1520:45:00;1997-02-1517:30:00;1997-02-15-00:00:00
7,56;7,275;7,31;1997-02-1613:30:00;1997-02-16-00:00:00;1997-02-16-00:00:00
7,56;6,705;7,19;1997-02-1720:15:00;1997-02-1718:00:00;1997-02-17-00:00:00
7,28;6,99;7,15;1997-02-18-00:00:00;1997-02-1812:30:00;1997-02-18-00:00:00
7,28;6,705;6,97;1997-02-1913:30:00;1997-02-1915:15:00;1997-02-19-00:00:00
7,28;6,99;7;1997-02-2012:45:00;1997-02-20-00:00:00;1997-02-20-00:00:00
6,99;6,705;6,92;1997-02-21-00:00:00;1997-02-2111:00:00;1997-02-21-00:00:00
6,99;6,705;6,89;1997-02-2202:00:00;1997-02-22-00:00:00;1997-02-22-00:00:00
6,99;6,42;6,7;1997-02-2307:30:00;1997-02-2313:15:00;1997-02-23-00:00:00
6,71;6,42;6,64;1997-02-24-00:00:00;1997-02-2413:00:00;1997-02-24-00:00:00
6,71;6,42;6,65;1997-02-25-00:00:00;1997-02-2500:45:00;1997-02-25-00:00:00
6,99;6,42;6,65;1997-02-2618:30:00;1997-02-2613:30:00;1997-02-26-00:00:00
6,71;6,42;6,44;1997-02-2711:30:00;1997-02-27-00:00:00;1997-02-27-00:00:00
6,71;6,42;6,43;1997-02-2818:15:00;1997-02-28-00:00:00;1997-02-28-00:00:00
6,42;6,135;6,4;1997-03-01-00:00:00;1997-03-0118:15:00;1997-03-01-00:00:00
6,42;6,42;6,42;1997-03-02-00:00:00;1997-03-02-00:00:00;1997-03-02-00:00:00
6,42;6,135;6,34;1997-03-03-00:00:00;1997-03-0313:15:00;1997-03-03-00:00:00
6,71;6,135;6,47;1997-03-0412:30:00;1997-03-04-00:00:00;1997-03-04-00:00:00
6,42;6,135;6,4;1997-03-05-00:00:00;1997-03-0519:15:00;1997-03-05-00:00:00
6,42;6,135;6,31;1997-03-06-00:00:00;1997-03-0612:15:00;1997-03-06-00:00:00
6,42;6,135;6,41;1997-03-07-00:00:00;1997-03-0701:15:00;1997-03-07-00:00:00
6,42;5,85;6,16;1997-03-08-00:00:00;1997-03-0817:15:00;1997-03-08-00:00:00
6,42;5,85;6,07;1997-03-0921:00:00;1997-03-0911:30:00;1997-03-09-00:00:00
6,42;5,85;6,19;1997-03-1000:15:00;1997-03-1012:00:00;1997-03-10-00:00:00
6,42;6,135;6,16;1997-03-1107:30:00;1997-03-11-00:00:00;1997-03-11-00:00:00
6,42;5,605;6,04;1997-03-1201:30:00;1997-03-1213:00:00;1997-03-12-00:00:00
6,14;6,135;6,14;1997-03-13-00:00:00;1997-03-13-00:00:00;1997-03-13-00:00:00
;;;;;1997-03-14-00:00:00
;;;;;1997-03-15-00:00:00
;;;;;1997-03-16-00:00:00
;;;;;1997-03-17-00:00:00
;;;;;1997-03-18-00:00:00
;;;;;1997-03-19-00:00:00
;;;;;1997-03-20-00:00:00
;;;;;1997-03-21-00:00:00
;;;;;1997-03-22-00:00:00
;;;;;1997-03-23-00:00:00
;;;;;1997-03-24-00:00:00
;;;;;1997-03-25-00:00:00
;;;;;1997-03-26-00:00:00
;;;;;1997-03-27-00:00:00
;;;;;1997-03-28-00:00:00
6,14;5,605;5,87;1997-03-2900:15:00;1997-03-2912:00:00;1997-03-29-00:00:00
6,42;5,605;5,94;1997-03-3022:45:00;1997-03-3011:00:00;1997-03-30-00:00:00
6,42;5,605;6;1997-03-31-00:00:00;1997-03-3112:00:00;1997-03-31-00:00:00
