Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
;22;48,31;;2004-08-0117:00:00;2004-08-01-00:00:00
78,07;44,35;62,01;2004-08-0219:00:00;2004-08-02-00:00:00;2004-08-02-00:00:00
100,23;41,67;63,48;2004-08-0319:15:00;2004-08-0317:15:00;2004-08-03-00:00:00
137,65;33,67;72,72;2004-08-0413:30:00;2004-08-0412:00:00;2004-08-04-00:00:00
78,87;53,27;66,05;2004-08-0500:45:00;2004-08-0504:45:00;2004-08-05-00:00:00
75,27;26,07;56,75;2004-08-0605:45:00;2004-08-0604:45:00;2004-08-06-00:00:00
79,27;36,87;54,5;2004-08-0719:30:00;2004-08-0723:45:00;2004-08-07-00:00:00
58,27;32,07;47,84;2004-08-0814:15:00;2004-08-0800:15:00;2004-08-08-00:00:00
58,67;45,67;53,32;2004-08-0919:30:00;2004-08-0908:45:00;2004-08-09-00:00:00
72,47;34,87;55,3;2004-08-1019:00:00;2004-08-1005:00:00;2004-08-10-00:00:00
57,67;23,63;46,04;2004-08-1110:45:00;2004-08-1114:15:00;2004-08-11-00:00:00
50,07;36,87;43,93;2004-08-1210:30:00;2004-08-1202:30:00;2004-08-12-00:00:00
46,07;32,47;40,62;2004-08-1301:30:00;2004-08-1319:15:00;2004-08-13-00:00:00
45,67;37,67;40,69;2004-08-1415:45:00;2004-08-1401:45:00;2004-08-14-00:00:00
48,07;36,07;44,01;2004-08-1520:30:00;2004-08-1506:45:00;2004-08-15-00:00:00
47,67;40,47;44,11;2004-08-16-00:00:00;2004-08-1620:00:00;2004-08-16-00:00:00
46,07;34,47;42,49;2004-08-1700:15:00;2004-08-1717:30:00;2004-08-17-00:00:00
46,07;33,27;42,54;2004-08-18-00:00:00;2004-08-1812:15:00;2004-08-18-00:00:00
43,67;34,07;38,07;2004-08-1907:30:00;2004-08-1914:15:00;2004-08-19-00:00:00
40,47;32,47;35,66;2004-08-2005:45:00;2004-08-2023:30:00;2004-08-20-00:00:00
40,87;32,47;36,5;2004-08-2119:00:00;2004-08-2112:30:00;2004-08-21-00:00:00
47,74;26,61;39,15;2004-08-2219:45:00;2004-08-2209:15:00;2004-08-22-00:00:00
45,74;35,34;38,99;2004-08-23-00:00:00;2004-08-2306:00:00;2004-08-23-00:00:00
42,14;34,94;37,88;2004-08-2405:15:00;2004-08-2415:15:00;2004-08-24-00:00:00
38,14;27,41;33,86;2004-08-25-00:00:00;2004-08-2512:15:00;2004-08-25-00:00:00
47,34;31,67;39,48;2004-08-2619:00:00;2004-08-2623:45:00;2004-08-26-00:00:00
42,94;24,34;33,16;2004-08-2720:45:00;2004-08-2706:30:00;2004-08-27-00:00:00
43,74;35,74;39,41;2004-08-2800:15:00;2004-08-2810:00:00;2004-08-28-00:00:00
43,34;32,14;38,33;2004-08-2909:30:00;2004-08-2919:00:00;2004-08-29-00:00:00
45,74;29,34;39,94;2004-08-3014:00:00;2004-08-3012:00:00;2004-08-30-00:00:00
43,74;35,74;39,54;2004-08-3104:15:00;2004-08-3109:00:00;2004-08-31-00:00:00
44,54;34,14;39,68;2004-09-0120:00:00;2004-09-0114:30:00;2004-09-01-00:00:00
51,06;11,34;36,95;2004-09-0215:00:00;2004-09-0201:30:00;2004-09-02-00:00:00
44,66;14,53;38,04;2004-09-0307:00:00;2004-09-0306:00:00;2004-09-03-00:00:00
49,86;38,66;45,81;2004-09-0412:00:00;2004-09-0404:00:00;2004-09-04-00:00:00
43,68;28,03;35,12;2004-09-05-00:00:00;2004-09-0517:15:00;2004-09-05-00:00:00
48,42;29,86;37,19;2004-09-0618:15:00;2004-09-06-00:00:00;2004-09-06-00:00:00
58,67;17,54;37,59;2004-09-0713:45:00;2004-09-0706:30:00;2004-09-07-00:00:00
136,36;13,52;58,85;2004-09-0812:30:00;2004-09-0804:45:00;2004-09-08-00:00:00
55,79;33,8;46,42;2004-09-0923:30:00;2004-09-0917:00:00;2004-09-09-00:00:00
63,76;56,59;60,08;2004-09-1003:30:00;2004-09-10-00:00:00;2004-09-10-00:00:00
;;;;;2004-09-11-00:00:00
;;;;;2004-09-12-00:00:00
;;;;;2004-09-13-00:00:00
;;;;;2004-09-14-00:00:00
;;;;;2004-09-15-00:00:00
;;;;;2004-09-16-00:00:00
;;;;;2004-09-17-00:00:00
;;;;;2004-09-18-00:00:00
;;;;;2004-09-19-00:00:00
;;;;;2004-09-20-00:00:00
;;;;;2004-09-21-00:00:00
;;;;;2004-09-22-00:00:00
;;;;;2004-09-23-00:00:00
;;;;;2004-09-24-00:00:00
31,41;21,24;23,24;2004-09-2522:15:00;2004-09-2506:45:00;2004-09-25-00:00:00
30,75;15,41;24,3;2004-09-2620:45:00;2004-09-2607:15:00;2004-09-26-00:00:00
36,61;23,41;27,12;2004-09-2709:45:00;2004-09-2715:00:00;2004-09-27-00:00:00
32,08;21,41;23,59;2004-09-2800:15:00;2004-09-2811:30:00;2004-09-28-00:00:00
33,07;20,24;26,56;2004-09-2911:30:00;2004-09-2908:00:00;2004-09-29-00:00:00
32,9;22,9;25,72;2004-09-3020:00:00;2004-09-3005:15:00;2004-09-30-00:00:00
39,3;25,57;31,4;2004-10-0106:30:00;2004-10-0121:30:00;2004-10-01-00:00:00
30,24;23,57;27,05;2004-10-0216:45:00;2004-10-0205:15:00;2004-10-02-00:00:00
40,27;14,24;23,29;2004-10-0323:45:00;2004-10-0319:15:00;2004-10-03-00:00:00
43,47;14,24;21,74;2004-10-04-00:00:00;2004-10-0406:45:00;2004-10-04-00:00:00
41,7;9,3;25,37;2004-10-0510:15:00;2004-10-0509:00:00;2004-10-05-00:00:00
41,87;20,07;32,98;2004-10-0606:30:00;2004-10-0623:45:00;2004-10-06-00:00:00
34,33;19,9;26,07;2004-10-0707:45:00;2004-10-07-00:00:00;2004-10-07-00:00:00
37,53;19,9;26,37;2004-10-0813:15:00;2004-10-08-00:00:00;2004-10-08-00:00:00
42,5;20,24;32,33;2004-10-0916:15:00;2004-10-0908:45:00;2004-10-09-00:00:00
44,84;27,9;32,46;2004-10-1014:15:00;2004-10-1001:15:00;2004-10-10-00:00:00
40,04;19,83;27,24;2004-10-1106:00:00;2004-10-1120:45:00;2004-10-11-00:00:00
33,47;20;28,5;2004-10-1200:15:00;2004-10-1222:30:00;2004-10-12-00:00:00
55,24;20;27,84;2004-10-1322:30:00;2004-10-1300:15:00;2004-10-13-00:00:00
48,04;20;31,75;2004-10-14-00:00:00;2004-10-1406:30:00;2004-10-14-00:00:00
31,51;20;27,07;2004-10-1503:30:00;2004-10-1515:45:00;2004-10-15-00:00:00
35,41;20;23,83;2004-10-1619:15:00;2004-10-1621:00:00;2004-10-16-00:00:00
40,04;20;30;2004-10-1715:45:00;2004-10-1705:00:00;2004-10-17-00:00:00
36,44;27,51;30,48;2004-10-1821:15:00;2004-10-1800:30:00;2004-10-18-00:00:00
45,87;29,91;37,67;2004-10-1918:15:00;2004-10-1910:45:00;2004-10-19-00:00:00
39,59;19,9;31,29;2004-10-2017:00:00;2004-10-2016:00:00;2004-10-20-00:00:00
53,07;20,41;36,49;2004-10-2122:45:00;2004-10-2100:45:00;2004-10-21-00:00:00
52,27;30,41;36,97;2004-10-22-00:00:00;2004-10-2214:30:00;2004-10-22-00:00:00
47,98;20,75;31,57;2004-10-2322:45:00;2004-10-2314:45:00;2004-10-23-00:00:00
47,98;20,75;35,26;2004-10-2400:30:00;2004-10-2418:15:00;2004-10-24-00:00:00
43,18;20,58;27,83;2004-10-2514:30:00;2004-10-2504:30:00;2004-10-25-00:00:00
;;;;;2004-10-26-00:00:00
;;;;;2004-10-27-00:00:00
;;;;;2004-10-28-00:00:00
;;;;;2004-10-29-00:00:00
;;;;;2004-10-30-00:00:00
;;;;;2004-10-31-00:00:00
;;;;;2004-11-01-00:00:00
;;;;;2004-11-02-00:00:00
;;;;;2004-11-03-00:00:00
;;;;;2004-11-04-00:00:00
;;;;;2004-11-05-00:00:00
;;;;;2004-11-06-00:00:00
;;;;;2004-11-07-00:00:00
;;;;;2004-11-08-00:00:00
;;;;;2004-11-09-00:00:00
126,68;126,68;155,61;2004-11-1022:30:00;2004-11-1022:30:00;2004-11-10-00:00:00
;;335,07;;;2004-11-11-00:00:00
;;443,37;;;2004-11-12-00:00:00
;;373,19;;;2004-11-13-00:00:00
;;219,29;;;2004-11-14-00:00:00
147,63;85,23;164,1;2004-11-1521:15:00;2004-11-1514:00:00;2004-11-15-00:00:00
115,89;79,1;101,84;2004-11-1615:00:00;2004-11-1613:15:00;2004-11-16-00:00:00
105,05;67,3;88,48;2004-11-1702:15:00;2004-11-1722:00:00;2004-11-17-00:00:00
92,58;43,56;72,78;2004-11-1815:15:00;2004-11-1813:45:00;2004-11-18-00:00:00
90,1;44,42;71,55;2004-11-1907:45:00;2004-11-1905:45:00;2004-11-19-00:00:00
97,89;32,61;67,62;2004-11-2010:45:00;2004-11-2009:45:00;2004-11-20-00:00:00
64,54;51,62;60,1;2004-11-2123:45:00;2004-11-2107:45:00;2004-11-21-00:00:00
73,51;43,51;58,93;2004-11-2209:30:00;2004-11-2208:00:00;2004-11-22-00:00:00
59,62;51,22;56,2;2004-11-2311:30:00;2004-11-2310:30:00;2004-11-23-00:00:00
77,62;26,73;52,96;2004-11-2417:45:00;2004-11-2419:30:00;2004-11-24-00:00:00
61,76;20,06;50,86;2004-11-2517:30:00;2004-11-2501:30:00;2004-11-25-00:00:00
52,13;35,16;48,18;2004-11-2600:45:00;2004-11-2611:45:00;2004-11-26-00:00:00
44,93;35,6;102,58;2004-11-2704:15:00;2004-11-2721:15:00;2004-11-27-00:00:00
50,7;37,1;118,86;2004-11-2817:45:00;2004-11-2811:00:00;2004-11-28-00:00:00
49,73;23,73;40,22;2004-11-2903:30:00;2004-11-2902:15:00;2004-11-29-00:00:00
45,9;36,59;103,76;2004-11-3010:45:00;2004-11-3012:15:00;2004-11-30-00:00:00
;;157,78;;;2004-12-01-00:00:00
;;;;;2004-12-02-00:00:00
;;;;;2004-12-03-00:00:00
;;;;;2004-12-04-00:00:00
116,03;92,74;134,44;2004-12-0522:45:00;2004-12-0513:45:00;2004-12-05-00:00:00
101,64;67,05;84,76;2004-12-0601:30:00;2004-12-0614:15:00;2004-12-06-00:00:00
81,11;64,51;73,83;2004-12-0711:30:00;2004-12-0704:15:00;2004-12-07-00:00:00
71,78;47,04;64,42;2004-12-08-00:00:00;2004-12-0820:00:00;2004-12-08-00:00:00
71,78;44,01;57,92;2004-12-09-00:00:00;2004-12-0917:15:00;2004-12-09-00:00:00
66,01;53,61;57,87;2004-12-1015:00:00;2004-12-1013:30:00;2004-12-10-00:00:00
58,84;53,44;55,85;2004-12-1100:45:00;2004-12-1103:30:00;2004-12-11-00:00:00
56,81;53,44;55,17;2004-12-1209:15:00;2004-12-1201:45:00;2004-12-12-00:00:00
54,41;46,41;51,51;2004-12-13-00:00:00;2004-12-1307:30:00;2004-12-13-00:00:00
51,27;32,28;46,43;2004-12-1400:30:00;2004-12-1416:00:00;2004-12-14-00:00:00
