Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
150;146;148,5;1997-02-02-00:00:00;1997-02-0219:45:00;1997-02-02-00:00:00
186,8;84,8;144,6;1997-02-0315:15:00;1997-02-0314:00:00;1997-02-03-00:00:00
150;92;131,2;1997-02-04-00:00:00;1997-02-0412:30:00;1997-02-04-00:00:00
156,2;124;135,3;1997-02-0520:00:00;1997-02-0506:00:00;1997-02-05-00:00:00
140;110;129,6;1997-02-06-00:00:00;1997-02-0617:45:00;1997-02-06-00:00:00
124;116;119,4;1997-02-07-00:00:00;1997-02-0712:45:00;1997-02-07-00:00:00
116;106;110,9;1997-02-08-00:00:00;1997-02-0813:15:00;1997-02-08-00:00:00
116;84,8;106,5;1997-02-0922:15:00;1997-02-0921:30:00;1997-02-09-00:00:00
132;57,8;102,4;1997-02-1020:15:00;1997-02-1014:45:00;1997-02-10-00:00:00
120;54,3;98,8;1997-02-1114:15:00;1997-02-1112:00:00;1997-02-11-00:00:00
106;86,6;95,4;1997-02-12-00:00:00;1997-02-1215:45:00;1997-02-12-00:00:00
106;81,2;91,9;1997-02-1316:00:00;1997-02-1321:15:00;1997-02-13-00:00:00
88,4;83;84,4;1997-02-1400:30:00;1997-02-1409:45:00;1997-02-14-00:00:00
90,2;81,2;85,7;1997-02-1519:15:00;1997-02-1502:45:00;1997-02-15-00:00:00
92;88,4;90,4;1997-02-1611:15:00;1997-02-16-00:00:00;1997-02-16-00:00:00
110;90,2;92,6;1997-02-1722:45:00;1997-02-17-00:00:00;1997-02-17-00:00:00
120;59,6;93,4;1997-02-1819:30:00;1997-02-1817:30:00;1997-02-18-00:00:00
104;59,6;86,5;1997-02-1918:30:00;1997-02-1910:45:00;1997-02-19-00:00:00
86,6;68,6;80,5;1997-02-20-00:00:00;1997-02-2016:30:00;1997-02-20-00:00:00
79,4;68,6;72,9;1997-02-2123:15:00;1997-02-2109:15:00;1997-02-21-00:00:00
88,4;74;80;1997-02-2208:15:00;1997-02-2218:45:00;1997-02-22-00:00:00
74;72,2;73,6;1997-02-23-00:00:00;1997-02-2312:00:00;1997-02-23-00:00:00
100;31;73;1997-02-2421:00:00;1997-02-2416:15:00;1997-02-24-00:00:00
92;35,8;73;1997-02-2510:45:00;1997-02-2509:30:00;1997-02-25-00:00:00
100;34,2;74,1;1997-02-2615:30:00;1997-02-2614:15:00;1997-02-26-00:00:00
86,6;42,4;72,7;1997-02-2717:30:00;1997-02-2716:30:00;1997-02-27-00:00:00
90,2;42,4;71,3;1997-02-2818:00:00;1997-02-2816:30:00;1997-02-28-00:00:00
79,4;37,4;68;1997-03-0102:15:00;1997-03-0118:00:00;1997-03-01-00:00:00
70,4;59,6;65,9;1997-03-02-00:00:00;1997-03-0210:00:00;1997-03-02-00:00:00
72,2;50,9;64,5;1997-03-0321:45:00;1997-03-0313:30:00;1997-03-03-00:00:00
79,4;32,6;64,4;1997-03-0417:30:00;1997-03-0415:00:00;1997-03-04-00:00:00
68,6;37,4;60,6;1997-03-0509:45:00;1997-03-0522:15:00;1997-03-05-00:00:00
70,4;39;59,8;1997-03-0615:00:00;1997-03-0614:15:00;1997-03-06-00:00:00
68,6;44,1;59,1;1997-03-0717:15:00;1997-03-0719:45:00;1997-03-07-00:00:00
68,6;44,1;57,9;1997-03-0822:30:00;1997-03-0821:45:00;1997-03-08-00:00:00
61,4;45,8;55,4;1997-03-0907:30:00;1997-03-0902:45:00;1997-03-09-00:00:00
68,6;47,5;54,8;1997-03-1015:00:00;1997-03-1018:15:00;1997-03-10-00:00:00
57,8;44,1;49,3;1997-03-1114:30:00;1997-03-1113:30:00;1997-03-11-00:00:00
65;23;43,4;1997-03-1217:45:00;1997-03-1214:30:00;1997-03-12-00:00:00
66,8;66,8;66,8;1997-03-13-00:00:00;1997-03-13-00:00:00;1997-03-13-00:00:00
;;;;;1997-03-14-00:00:00
