Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
178;158,6;167;2004-11-1702:30:00;2004-11-1722:45:00;2004-11-17-00:00:00
130;89,242;112;2004-11-18-00:00:00;2004-11-1815:00:00;2004-11-18-00:00:00
105;89,242;97;2004-11-1903:45:00;2004-11-1923:45:00;2004-11-19-00:00:00
100;78,973;94;2004-11-2000:45:00;2004-11-2011:15:00;2004-11-20-00:00:00
105;84,108;92;2004-11-2108:00:00;2004-11-21-00:00:00;2004-11-21-00:00:00
89;73,839;86;2004-11-22-00:00:00;2004-11-2223:00:00;2004-11-22-00:00:00
94;63,571;76;2004-11-2314:00:00;2004-11-2305:45:00;2004-11-23-00:00:00
79;58,437;68;2004-11-2406:30:00;2004-11-2403:00:00;2004-11-24-00:00:00
84;37,9;58;2004-11-2515:30:00;2004-11-2512:00:00;2004-11-25-00:00:00
89;33,82;59;2004-11-2609:45:00;2004-11-2601:30:00;2004-11-26-00:00:00
74;28,72;45;2004-11-2710:00:00;2004-11-2723:45:00;2004-11-27-00:00:00
48;31,78;41;2004-11-2800:45:00;2004-11-28-00:00:00;2004-11-28-00:00:00
48;35,86;40;2004-11-2909:45:00;2004-11-2903:30:00;2004-11-29-00:00:00
94;27,7;40;2004-11-3010:30:00;2004-11-3008:45:00;2004-11-30-00:00:00
58;36,88;46;2004-12-0116:15:00;2004-12-0103:15:00;2004-12-01-00:00:00
120;48,168;81;2004-12-0212:15:00;2004-12-02-00:00:00;2004-12-02-00:00:00
130;68,705;101;2004-12-0318:15:00;2004-12-03-00:00:00;2004-12-03-00:00:00
192;114,913;151;2004-12-0423:00:00;2004-12-04-00:00:00;2004-12-04-00:00:00
202;155,986;179;2004-12-0501:30:00;2004-12-0519:30:00;2004-12-05-00:00:00
166;125,181;139;2004-12-06-00:00:00;2004-12-0612:00:00;2004-12-06-00:00:00
146;58,437;109;2004-12-0712:45:00;2004-12-0710:45:00;2004-12-07-00:00:00
105;94,376;101;2004-12-08-00:00:00;2004-12-0813:15:00;2004-12-08-00:00:00
94;63,571;87;2004-12-09-00:00:00;2004-12-0913:00:00;2004-12-09-00:00:00
89;58,437;73;2004-12-10-00:00:00;2004-12-1009:45:00;2004-12-10-00:00:00
79;63,571;72;2004-12-1112:15:00;2004-12-1123:15:00;2004-12-11-00:00:00
79;63,571;73;2004-12-1204:00:00;2004-12-12-00:00:00;2004-12-12-00:00:00
79;68,705;73;2004-12-1318:00:00;2004-12-1320:15:00;2004-12-13-00:00:00
69;48,168;64;2004-12-14-00:00:00;2004-12-1421:45:00;2004-12-14-00:00:00
64;37,9;53;2004-12-1503:45:00;2004-12-1515:30:00;2004-12-15-00:00:00
53;36,88;45;2004-12-1600:45:00;2004-12-1623:30:00;2004-12-16-00:00:00
48;34,84;39;2004-12-1707:30:00;2004-12-1712:45:00;2004-12-17-00:00:00
58;34,84;43;2004-12-1818:00:00;2004-12-1815:30:00;2004-12-18-00:00:00
264;53,303;166;2004-12-1923:30:00;2004-12-19-00:00:00;2004-12-19-00:00:00
315;258,669;288;2004-12-2008:00:00;2004-12-2017:30:00;2004-12-20-00:00:00
474;320,279;422;2004-12-2111:30:00;2004-12-21-00:00:00;2004-12-21-00:00:00
413;299,743;357;2004-12-22-00:00:00;2004-12-2214:00:00;2004-12-22-00:00:00
300;258,669;272;2004-12-23-00:00:00;2004-12-2313:45:00;2004-12-23-00:00:00
259;222,73;244;2004-12-24-00:00:00;2004-12-2414:00:00;2004-12-24-00:00:00
238;191,925;222;2004-12-2504:15:00;2004-12-2522:30:00;2004-12-25-00:00:00
197;145,718;178;2004-12-26-00:00:00;2004-12-2623:30:00;2004-12-26-00:00:00
177;145,718;160;2004-12-2712:45:00;2004-12-2704:15:00;2004-12-27-00:00:00
197;109,778;158;2004-12-2809:45:00;2004-12-2809:00:00;2004-12-28-00:00:00
336;155,986;224;2004-12-2921:00:00;2004-12-2903:30:00;2004-12-29-00:00:00
577;330,548;444;2004-12-3023:30:00;2004-12-30-00:00:00;2004-12-30-00:00:00
644;582,122;610;2004-12-3123:45:00;2004-12-31-00:00:00;2004-12-31-00:00:00
644;587,256;621;2005-01-0100:15:00;2005-01-0123:15:00;2005-01-01-00:00:00
592;433,231;505;2005-01-02-00:00:00;2005-01-0222:00:00;2005-01-02-00:00:00
433;387,023;404;2005-01-03-00:00:00;2005-01-0317:30:00;2005-01-03-00:00:00
402;366,487;386;2005-01-0404:30:00;2005-01-0422:00:00;2005-01-04-00:00:00
366;263,803;326;2005-01-05-00:00:00;2005-01-0523:00:00;2005-01-05-00:00:00
295;232,998;262;2005-01-0600:15:00;2005-01-0622:00:00;2005-01-06-00:00:00
233;202,193;215;2005-01-07-00:00:00;2005-01-0721:15:00;2005-01-07-00:00:00
202;166,254;187;2005-01-08-00:00:00;2005-01-0813:15:00;2005-01-08-00:00:00
187;145,718;169;2005-01-0918:30:00;2005-01-0916:15:00;2005-01-09-00:00:00
171;145,718;157;2005-01-1002:30:00;2005-01-1010:15:00;2005-01-10-00:00:00
166;94,376;142;2005-01-1100:30:00;2005-01-1113:15:00;2005-01-11-00:00:00
135;114,913;126;2005-01-1211:15:00;2005-01-1214:00:00;2005-01-12-00:00:00
135;68,705;117;2005-01-1311:15:00;2005-01-1310:00:00;2005-01-13-00:00:00
120;104,644;112;2005-01-1400:30:00;2005-01-1403:00:00;2005-01-14-00:00:00
110;84,108;104;2005-01-1513:00:00;2005-01-1504:30:00;2005-01-15-00:00:00
110;94,376;102;2005-01-16-00:00:00;2005-01-1620:15:00;2005-01-16-00:00:00
115;73,839;97;2005-01-1715:00:00;2005-01-1712:00:00;2005-01-17-00:00:00
100;53,303;89;2005-01-18-00:00:00;2005-01-1813:00:00;2005-01-18-00:00:00
105;53,303;78;2005-01-1923:30:00;2005-01-1917:15:00;2005-01-19-00:00:00
495;99,51;244;2005-01-2023:45:00;2005-01-2000:30:00;2005-01-20-00:00:00
699;499,975;614;2005-01-2121:45:00;2005-01-21-00:00:00;2005-01-21-00:00:00
688;366,487;508;2005-01-2200:15:00;2005-01-2223:30:00;2005-01-22-00:00:00
366;258,669;307;2005-01-23-00:00:00;2005-01-2322:00:00;2005-01-23-00:00:00
259;202,193;237;2005-01-24-00:00:00;2005-01-2414:00:00;2005-01-24-00:00:00
228;186,791;205;2005-01-2500:30:00;2005-01-2522:30:00;2005-01-25-00:00:00
202;150,852;170;2005-01-2601:45:00;2005-01-2623:00:00;2005-01-26-00:00:00
161;135,449;147;2005-01-2703:15:00;2005-01-2707:15:00;2005-01-27-00:00:00
161;130,315;147;2005-01-2811:00:00;2005-01-2805:45:00;2005-01-28-00:00:00
146;125,181;139;2005-01-2900:30:00;2005-01-2913:00:00;2005-01-29-00:00:00
228;140,583;191;2005-01-3018:45:00;2005-01-30-00:00:00;2005-01-30-00:00:00
254;207,328;233;2005-01-3120:45:00;2005-01-3115:45:00;2005-01-31-00:00:00
243;171,388;214;2005-02-0100:15:00;2005-02-0122:15:00;2005-02-01-00:00:00
269;161,12;212;2005-02-0223:45:00;2005-02-0205:15:00;2005-02-02-00:00:00
474;279,206;390;2005-02-0321:15:00;2005-02-03-00:00:00;2005-02-03-00:00:00
474;366,487;429;2005-02-0401:30:00;2005-02-0423:30:00;2005-02-04-00:00:00
382;325,413;349;2005-02-0500:15:00;2005-02-0522:15:00;2005-02-05-00:00:00
325;274,072;299;2005-02-06-00:00:00;2005-02-0623:30:00;2005-02-06-00:00:00
274;227,864;255;2005-02-07-00:00:00;2005-02-0712:00:00;2005-02-07-00:00:00
254;217,596;239;2005-02-0810:00:00;2005-02-0807:00:00;2005-02-08-00:00:00
238;207,328;230;2005-02-09-00:00:00;2005-02-0905:30:00;2005-02-09-00:00:00
233;207,328;220;2005-02-1009:15:00;2005-02-1009:45:00;2005-02-10-00:00:00
228;140,583;201;2005-02-1118:15:00;2005-02-1117:00:00;2005-02-11-00:00:00
212;140,583;194;2005-02-1223:30:00;2005-02-1222:45:00;2005-02-12-00:00:00
218;197,059;202;2005-02-1323:45:00;2005-02-1304:00:00;2005-02-13-00:00:00
433;217,596;292;2005-02-1423:45:00;2005-02-14-00:00:00;2005-02-14-00:00:00
613;428,097;537;2005-02-1523:00:00;2005-02-15-00:00:00;2005-02-15-00:00:00
644;612,927;630;2005-02-1620:00:00;2005-02-16-00:00:00;2005-02-16-00:00:00
644;438,365;545;2005-02-17-00:00:00;2005-02-1723:15:00;2005-02-17-00:00:00
433;340,816;378;2005-02-18-00:00:00;2005-02-1817:15:00;2005-02-18-00:00:00
341;284,34;311;2005-02-1906:30:00;2005-02-1919:30:00;2005-02-19-00:00:00
382;279,206;310;2005-02-2023:45:00;2005-02-2004:30:00;2005-02-20-00:00:00
649;387,023;551;2005-02-2123:45:00;2005-02-21-00:00:00;2005-02-21-00:00:00
660;546,183;633;2005-02-2204:30:00;2005-02-2223:45:00;2005-02-22-00:00:00
546;402,426;472;2005-02-23-00:00:00;2005-02-2318:15:00;2005-02-23-00:00:00
