fecha_orig	Arroyo	Calatayud	Mendavia	Miranda	fecha	Logroño	fecha	Tudela	fecha
1997-02-02 00:00:00	0,83	8,81	148,5	11,9	1997-10-01 00:00:00	48,31	2004-08-01 00:00:00	167	2004-11-17 00:00:00
1997-02-03 00:00:00	0,83	8,54	144,6	12,3	1997-10-02 00:00:00	62,01	2004-08-02 00:00:00	112	2004-11-18 00:00:00
1997-02-04 00:00:00	0,79	8,3	131,2	12,1	1997-10-03 00:00:00	63,48	2004-08-03 00:00:00	97	2004-11-19 00:00:00
1997-02-05 00:00:00	0,76	8,12	135,3	11,8	1997-10-04 00:00:00	72,72	2004-08-04 00:00:00	94	2004-11-20 00:00:00
1997-02-06 00:00:00	0,76	7,82	129,6	11,8	1997-10-05 00:00:00	66,05	2004-08-05 00:00:00	92	2004-11-21 00:00:00
1997-02-07 00:00:00	0,76	7,75	119,4	11,9	1997-10-06 00:00:00	56,75	2004-08-06 00:00:00	86	2004-11-22 00:00:00
1997-02-08 00:00:00	0,76	7,64	110,9	12,1	1997-10-07 00:00:00	54,5	2004-08-07 00:00:00	76	2004-11-23 00:00:00
1997-02-09 00:00:00	0,76	7,56	106,5	12,2	1997-10-08 00:00:00	47,84	2004-08-08 00:00:00	68	2004-11-24 00:00:00
1997-02-10 00:00:00	0,76	7,55	102,4	12,2	1997-10-09 00:00:00	53,32	2004-08-09 00:00:00	58	2004-11-25 00:00:00
1997-02-11 00:00:00	1,13	7,5	98,8	12,2	1997-10-10 00:00:00	55,3	2004-08-10 00:00:00	59	2004-11-26 00:00:00
1997-02-12 00:00:00	0,9	7,32	95,4	12,2	1997-10-11 00:00:00	46,04	2004-08-11 00:00:00	45	2004-11-27 00:00:00
1997-02-13 00:00:00	0,9	7,28	91,9	12,2	1997-10-12 00:00:00	43,93	2004-08-12 00:00:00	41	2004-11-28 00:00:00
1997-02-14 00:00:00	0,82	7,28	84,4	12,5	1997-10-13 00:00:00	40,62	2004-08-13 00:00:00	40	2004-11-29 00:00:00
1997-02-15 00:00:00	0,69	7,19	85,7	13,2	1997-10-14 00:00:00	40,69	2004-08-14 00:00:00	40	2004-11-30 00:00:00
1997-02-16 00:00:00	0,64	7,31	90,4	15,1	1997-10-15 00:00:00	44,01	2004-08-15 00:00:00	46	2004-12-01 00:00:00
1997-02-17 00:00:00	0,62	7,19	92,6	14,2	1997-10-16 00:00:00	44,11	2004-08-16 00:00:00	81	2004-12-02 00:00:00
1997-02-18 00:00:00	0,62	7,15	93,4	13,3	1997-10-17 00:00:00	42,49	2004-08-17 00:00:00	101	2004-12-03 00:00:00
1997-02-19 00:00:00	0,62	6,97	86,5	13,1	1997-10-18 00:00:00	42,54	2004-08-18 00:00:00	151	2004-12-04 00:00:00
1997-02-20 00:00:00	0,62	7	80,5	13,1	1997-10-19 00:00:00	38,07	2004-08-19 00:00:00	179	2004-12-05 00:00:00
1997-02-21 00:00:00	0,62	6,92	72,9	13	1997-10-20 00:00:00	35,66	2004-08-20 00:00:00	139	2004-12-06 00:00:00
1997-02-22 00:00:00	0,62	6,89	80	15,7	1997-10-21 00:00:00	36,5	2004-08-21 00:00:00	109	2004-12-07 00:00:00
1997-02-23 00:00:00	0,62	6,7	73,6	22,7	1997-10-22 00:00:00	39,15	2004-08-22 00:00:00	101	2004-12-08 00:00:00
1997-02-24 00:00:00	0,62	6,64	73	22,7	1997-10-23 00:00:00	38,99	2004-08-23 00:00:00	87	2004-12-09 00:00:00
1997-02-25 00:00:00	0,58	6,65	73	18,6	1997-10-24 00:00:00	37,88	2004-08-24 00:00:00	73	2004-12-10 00:00:00
1997-02-26 00:00:00	0,56	6,65	74,1	13,9	1997-10-25 00:00:00	33,86	2004-08-25 00:00:00	72	2004-12-11 00:00:00
1997-02-27 00:00:00	0,53	6,44	72,7	13,9	1997-10-26 00:00:00	39,48	2004-08-26 00:00:00	73	2004-12-12 00:00:00
1997-02-28 00:00:00	0,55	6,43	71,3	13,2	1997-10-27 00:00:00	33,16	2004-08-27 00:00:00	73	2004-12-13 00:00:00
1997-03-01 00:00:00	0,56	6,4	68	11,8	1997-10-28 00:00:00	39,41	2004-08-28 00:00:00	64	2004-12-14 00:00:00
1997-03-02 00:00:00	0,56	6,42	65,9	18,2	1997-10-29 00:00:00	38,33	2004-08-29 00:00:00	53	2004-12-15 00:00:00
1997-03-03 00:00:00	0,53	6,34	64,5	31,4	1997-10-30 00:00:00	39,94	2004-08-30 00:00:00	45	2004-12-16 00:00:00
1997-03-04 00:00:00	0,9	6,47	64,4	17,2	1997-10-31 00:00:00	39,54	2004-08-31 00:00:00	39	2004-12-17 00:00:00
1997-03-05 00:00:00	0,56	6,4	60,6	13,6	1997-11-01 00:00:00	39,68	2004-09-01 00:00:00	43	2004-12-18 00:00:00
1997-03-06 00:00:00	0,53	6,31	59,8	12,2	1997-11-02 00:00:00	36,95	2004-09-02 00:00:00	166	2004-12-19 00:00:00
1997-03-07 00:00:00	0,49	6,41	59,1	11,8	1997-11-03 00:00:00	38,04	2004-09-03 00:00:00	288	2004-12-20 00:00:00
1997-03-08 00:00:00	0,51	6,16	57,9	12,2	1997-11-04 00:00:00	45,81	2004-09-04 00:00:00	422	2004-12-21 00:00:00
1997-03-09 00:00:00	0,56	6,07	55,4	12,9	1997-11-05 00:00:00	35,12	2004-09-05 00:00:00	357	2004-12-22 00:00:00
1997-03-10 00:00:00	0,56	6,19	54,8	65,1	1997-11-06 00:00:00	37,19	2004-09-06 00:00:00	272	2004-12-23 00:00:00
1997-03-11 00:00:00	0,56	6,16	49,3	190,9	1997-11-07 00:00:00	37,59	2004-09-07 00:00:00	244	2004-12-24 00:00:00
1997-03-12 00:00:00	0,53	6,04	43,4	85,4	1997-11-08 00:00:00	58,85	2004-09-08 00:00:00	222	2004-12-25 00:00:00
1997-03-13 00:00:00	0,62	6,14	66,8	68,7	1997-11-09 00:00:00	46,42	2004-09-09 00:00:00	178	2004-12-26 00:00:00
1997-03-14 00:00:00	0,63	                	                	67,8	1997-11-10 00:00:00	60,08	2004-09-10 00:00:00	160	2004-12-27 00:00:00
1997-03-15 00:00:00	0,65	                	                	57	1997-11-11 00:00:00	                	2004-09-11 00:00:00	158	2004-12-28 00:00:00
1997-03-16 00:00:00	0,64	                	                	38,8	1997-11-12 00:00:00	                	2004-09-12 00:00:00	224	2004-12-29 00:00:00
1997-03-17 00:00:00	0,64	                	                	40,8	1997-11-13 00:00:00	                	2004-09-13 00:00:00	444	2004-12-30 00:00:00
1997-03-18 00:00:00	0,64	                	                	40,8	1997-11-14 00:00:00	                	2004-09-14 00:00:00	610	2004-12-31 00:00:00
1997-03-19 00:00:00	0,62	                	                	40,4	1997-11-15 00:00:00	                	2004-09-15 00:00:00	621	2005-01-01 00:00:00
1997-03-20 00:00:00	0,69	                	                	39,5	1997-11-16 00:00:00	                	2004-09-16 00:00:00	505	2005-01-02 00:00:00
1997-03-21 00:00:00	0,65	                	                	33	1997-11-17 00:00:00	                	2004-09-17 00:00:00	404	2005-01-03 00:00:00
1997-03-22 00:00:00	0,64	                	                	22	1997-11-18 00:00:00	                	2004-09-18 00:00:00	386	2005-01-04 00:00:00
1997-03-23 00:00:00	0,62	                	                	23,6	1997-11-19 00:00:00	                	2004-09-19 00:00:00	326	2005-01-05 00:00:00
1997-03-24 00:00:00	                	                	                	26,9	1997-11-20 00:00:00	                	2004-09-20 00:00:00	262	2005-01-06 00:00:00
1997-03-25 00:00:00	                	                	                	28,4	1997-11-21 00:00:00	                	2004-09-21 00:00:00	215	2005-01-07 00:00:00
1997-03-26 00:00:00	0,69	                	                	26,5	1997-11-22 00:00:00	                	2004-09-22 00:00:00	187	2005-01-08 00:00:00
1997-03-27 00:00:00	0,7	                	                	24,2	1997-11-23 00:00:00	                	2004-09-23 00:00:00	169	2005-01-09 00:00:00
1997-03-28 00:00:00	0,71	                	                	21,3	1997-11-24 00:00:00	                	2004-09-24 00:00:00	157	2005-01-10 00:00:00
1997-03-29 00:00:00	0,63	5,87	42,1	17,4	1997-11-25 00:00:00	23,24	2004-09-25 00:00:00	142	2005-01-11 00:00:00
1997-03-30 00:00:00	0,62	5,94	39,5	16,4	1997-11-26 00:00:00	24,3	2004-09-26 00:00:00	126	2005-01-12 00:00:00
1997-03-31 00:00:00	0,62	6	41,2	32,1	1997-11-27 00:00:00	27,12	2004-09-27 00:00:00	117	2005-01-13 00:00:00
1997-04-01 00:00:00	0,94	6,16	38,5	28,2	1997-11-28 00:00:00	23,59	2004-09-28 00:00:00	112	2005-01-14 00:00:00
1997-04-02 00:00:00	0,62	5,64	37,5	24,7	1997-11-29 00:00:00	26,56	2004-09-29 00:00:00	104	2005-01-15 00:00:00
1997-04-03 00:00:00	0,62	5,43	30,8	77,1	1997-11-30 00:00:00	25,72	2004-09-30 00:00:00	102	2005-01-16 00:00:00
1997-04-04 00:00:00	0,62	5,41	34,9	218,6	1997-12-01 00:00:00	31,4	2004-10-01 00:00:00	97	2005-01-17 00:00:00
1997-04-05 00:00:00	0,62	5,36	28,7	312,6	1997-12-02 00:00:00	27,05	2004-10-02 00:00:00	89	2005-01-18 00:00:00
1997-04-06 00:00:00	0,62	5,36	29,7	351,4	1997-12-03 00:00:00	23,29	2004-10-03 00:00:00	78	2005-01-19 00:00:00
1997-04-07 00:00:00	0,74	5,36	27,3	128	1997-12-04 00:00:00	21,74	2004-10-04 00:00:00	244	2005-01-20 00:00:00
1997-04-08 00:00:00	0,83	5,36	31,1	100,4	1997-12-05 00:00:00	25,37	2004-10-05 00:00:00	614	2005-01-21 00:00:00
1997-04-09 00:00:00	0,83	5,36	30,5	77,6	1997-12-06 00:00:00	32,98	2004-10-06 00:00:00	508	2005-01-22 00:00:00
1997-04-10 00:00:00	0,83	5,36	30,3	65,5	1997-12-07 00:00:00	26,07	2004-10-07 00:00:00	307	2005-01-23 00:00:00
1997-04-11 00:00:00	0,83	5,36	30,2	61,7	1997-12-08 00:00:00	26,37	2004-10-08 00:00:00	237	2005-01-24 00:00:00
1997-04-12 00:00:00	0,83	5,36	27,8	58,9	1997-12-09 00:00:00	32,33	2004-10-09 00:00:00	205	2005-01-25 00:00:00
1997-04-13 00:00:00	0,83	5,36	26,1	60,7	1997-12-10 00:00:00	32,46	2004-10-10 00:00:00	170	2005-01-26 00:00:00
1997-04-14 00:00:00	0,79	5,36	29,8	46,6	1997-12-11 00:00:00	27,24	2004-10-11 00:00:00	147	2005-01-27 00:00:00
1997-04-15 00:00:00	0,76	5,36	27,4	34,7	1997-12-12 00:00:00	28,5	2004-10-12 00:00:00	147	2005-01-28 00:00:00
1997-04-16 00:00:00	0,76	5,36	28,4	52,5	1997-12-13 00:00:00	27,84	2004-10-13 00:00:00	139	2005-01-29 00:00:00
1997-04-17 00:00:00	0,76	5,36	27	57	1997-12-14 00:00:00	31,75	2004-10-14 00:00:00	191	2005-01-30 00:00:00
1997-04-18 00:00:00	0,76	5,5	30,9	46,1	1997-12-15 00:00:00	27,07	2004-10-15 00:00:00	233	2005-01-31 00:00:00
1997-04-19 00:00:00	0,76	8,1	44,2	41	1997-12-16 00:00:00	23,83	2004-10-16 00:00:00	214	2005-02-01 00:00:00
1997-04-20 00:00:00	0,76	10,39	49,4	50,9	1997-12-17 00:00:00	30	2004-10-17 00:00:00	212	2005-02-02 00:00:00
1997-04-21 00:00:00	0,76	21,67	61,9	182,1	1997-12-18 00:00:00	30,48	2004-10-18 00:00:00	390	2005-02-03 00:00:00
1997-04-22 00:00:00	0,76	11,68	46,8	257,1	1997-12-19 00:00:00	37,67	2004-10-19 00:00:00	429	2005-02-04 00:00:00
1997-04-23 00:00:00	0,76	8,93	38,1	123,3	1997-12-20 00:00:00	31,29	2004-10-20 00:00:00	349	2005-02-05 00:00:00
1997-04-24 00:00:00	0,8	8,02	37,9	99,4	1997-12-21 00:00:00	36,49	2004-10-21 00:00:00	299	2005-02-06 00:00:00
1997-04-25 00:00:00	0,83	7,55	33,8	88,9	1997-12-22 00:00:00	36,97	2004-10-22 00:00:00	255	2005-02-07 00:00:00
1997-04-26 00:00:00	0,83	6,98	32,7	139,2	1997-12-23 00:00:00	31,57	2004-10-23 00:00:00	239	2005-02-08 00:00:00
1997-04-27 00:00:00	0,77	6,42	35,4	122,9	1997-12-24 00:00:00	35,26	2004-10-24 00:00:00	230	2005-02-09 00:00:00
1997-04-28 00:00:00	0,76	6,7	34,4	96,8	1997-12-25 00:00:00	27,83	2004-10-25 00:00:00	220	2005-02-10 00:00:00
1997-04-29 00:00:00	0,76	7,04	33	95,5	1997-12-26 00:00:00	                	2004-10-26 00:00:00	201	2005-02-11 00:00:00
1997-04-30 00:00:00	0,76	6,7	34,1	88,4	1997-12-27 00:00:00	                	2004-10-27 00:00:00	194	2005-02-12 00:00:00
1997-05-01 00:00:00	0,82	6,5	29,4	73,1	1997-12-28 00:00:00	                	2004-10-28 00:00:00	202	2005-02-13 00:00:00
1997-05-02 00:00:00	0,83	6,14	34,1	73,4	1997-12-29 00:00:00	                	2004-10-29 00:00:00	292	2005-02-14 00:00:00
1997-05-03 00:00:00	0,83	6,14	28	63,7	1997-12-30 00:00:00	                	2004-10-30 00:00:00	537	2005-02-15 00:00:00
1997-05-04 00:00:00	0,83	6,14	28,3	80,9	1997-12-31 00:00:00	                	2004-10-31 00:00:00	630	2005-02-16 00:00:00
1997-05-05 00:00:00	0,83	6,14	34,9	82,5	1998-01-01 00:00:00	                	2004-11-01 00:00:00	545	2005-02-17 00:00:00
1997-05-06 00:00:00	0,83	6,14	28,8	90,2	1998-01-02 00:00:00	                	2004-11-02 00:00:00	378	2005-02-18 00:00:00
1997-05-07 00:00:00	0,83	6,14	35,3	72,9	1998-01-03 00:00:00	                	2004-11-03 00:00:00	311	2005-02-19 00:00:00
1997-05-08 00:00:00	0,83	6,14	40,7	66,2	1998-01-04 00:00:00	                	2004-11-04 00:00:00	310	2005-02-20 00:00:00
1997-05-09 00:00:00	0,83	6,14	43	63,7	1998-01-05 00:00:00	                	2004-11-05 00:00:00	551	2005-02-21 00:00:00
1997-05-10 00:00:00	0,83	6,14	45,8	63,3	1998-01-06 00:00:00	                	2004-11-06 00:00:00	633	2005-02-22 00:00:00
1997-05-11 00:00:00	0,83	6,14	38,9	60,5	1998-01-07 00:00:00	                	2004-11-07 00:00:00	472	2005-02-23 00:00:00
1997-05-12 00:00:00	0,83	6,14	40	58,3	1998-01-08 00:00:00	                	2004-11-08 00:00:00	386	2005-02-24 00:00:00
1997-05-13 00:00:00	1,01	6,14	36,8	44,7	1998-01-09 00:00:00	                	2004-11-09 00:00:00	341	2005-02-25 00:00:00
1997-05-14 00:00:00	0,83	7,66	37,5	39,5	1998-01-10 00:00:00	155,61	2004-11-10 00:00:00	302	2005-02-26 00:00:00
1997-05-15 00:00:00	0,83	6,8	38,1	39,2	1998-01-11 00:00:00	335,07	2004-11-11 00:00:00	272	2005-02-27 00:00:00
1997-05-16 00:00:00	0,83	7,36	42,2	38,2	1998-01-12 00:00:00	443,37	2004-11-12 00:00:00	233	2005-02-28 00:00:00
1997-05-17 00:00:00	0,83	9,8	44	38,1	1998-01-13 00:00:00	373,19	2004-11-13 00:00:00	236	2005-03-01 00:00:00
1997-05-18 00:00:00	0,83	8,61	45,4	38,2	1998-01-14 00:00:00	219,29	2004-11-14 00:00:00	217	2005-03-02 00:00:00
1997-05-19 00:00:00	0,83	8,08	50,1	34,7	1998-01-15 00:00:00	164,1	2004-11-15 00:00:00	198	2005-03-03 00:00:00
1997-05-20 00:00:00	0,83	7,36	49,1	31,5	1998-01-16 00:00:00	101,84	2004-11-16 00:00:00	178	2005-03-04 00:00:00
1997-05-21 00:00:00	0,83	6,96	48,8	31,7	1998-01-17 00:00:00	88,48	2004-11-17 00:00:00	173	2005-03-05 00:00:00
1997-05-22 00:00:00	0,83	6,71	46,2	31,3	1998-01-18 00:00:00	72,78	2004-11-18 00:00:00	197	2005-03-06 00:00:00
1997-05-23 00:00:00	0,83	6,71	43,9	32,3	1998-01-19 00:00:00	71,55	2004-11-19 00:00:00	356	2005-03-07 00:00:00
1997-05-24 00:00:00	0,83	6,71	38,5	80,1	1998-01-20 00:00:00	67,62	2004-11-20 00:00:00	356	2005-03-08 00:00:00
1997-05-25 00:00:00	0,83	6,71	                	92	1998-01-21 00:00:00	60,1	2004-11-21 00:00:00	277	2005-03-09 00:00:00
1997-05-26 00:00:00	0,89	6,62	37	64,4	1998-01-22 00:00:00	58,93	2004-11-22 00:00:00	247	2005-03-10 00:00:00
1997-05-27 00:00:00	0,84	6,42	35,1	57,5	1998-01-23 00:00:00	56,2	2004-11-23 00:00:00	221	2005-03-11 00:00:00
1997-05-28 00:00:00	0,83	10,64	36,4	33,4	1998-01-24 00:00:00	52,96	2004-11-24 00:00:00	221	2005-03-12 00:00:00
