day_cos,day_sin,Arroyo,Calatayud,Mendavia,Miranda,castejon,palazuelos,ebro,mansilla,tranquera,yesa,pred
0.9623090774541486,0.2719581575341055,14.45,2.73,27.8,21.3,1.41,1.61,260.965,29.072,40.8,356.474,0.55
0.9623090774541486,0.2719581575341055,1.0,4.67,40.0,13.2,1.7,0.71,356.076,14.532,55.294,285.313,0.87
0.9226395488404876,0.3856634062436071,1.25,9.9,323.7,168.3,4.22,3.13,340.975,48.138,68.643,355.224,2.23
0.9226395488404876,0.3856634062436071,1.05,5.22,118.6,36.1,2.33,0.9,478.968,64.893,74.492,418.237,1.14
0.9998518392091162,0.017213356155834685,11.43,2.64,31.3,13.0,1.4,1.42,268.836,15.092,42.574,78.337,0.78
0.901501684131884,0.4327755925504312,20.51,8.05,27.1,24.5,1.73,0.68,255.925,31.559,60.524,100.419,0.93
0.9623090774541486,0.2719581575341055,3.82,5.79,30.5,10.8,1.35,0.66,270.703,13.813,54.626,144.222,0.76
0.9574851883550393,0.288482432880609,4.35,4.01,52.4,15.1,1.66,0.7,292.555,25.426,30.139,102.477,0.94
0.9787400799669153,0.2051044998686192,1.37,5.58,127.5,45.0,2.92,0.99,516.598,63.343,47.187,402.637,1.57
0.9469877530760753,0.3212696616923644,1.18,5.74,98.7,39.1,2.78,1.45,276.334,15.172,55.115,146.442,1.41
0.9905324521322229,0.13727877211326478,1.1,5.9,109.6,39.4,2.62,0.94,414.345,23.749,55.966,188.615,1.48
1.0,0.0,1.28,3.53,18.8,16.3,1.85,0.79,495.856,62.217,70.455,252.119,0.84
0.9852201067560606,0.1712931441814776,1.0,6.0,157.7,56.8,3.45,1.36,307.684,35.945,41.776,192.037,2.03
0.9880226656636976,0.15430882066428114,1.06,5.13,150.8,124.0,3.18,2.97,259.587,29.676,36.715,154.365,1.83
0.9523775757303975,0.304921224656289,24.77,5.73,33.1,27.3,1.45,0.64,343.558,37.549,46.822,162.636,0.56
0.9976303053065857,0.06880242680231986,30.14,8.48,82.5,48.0,1.95,1.28,514.759,58.506,79.372,401.851,0.95
0.9927487224577402,0.1202080448993527,1.18,5.55,85.7,38.0,2.86,1.56,288.223,17.268,58.105,181.191,1.46
0.9880226656636976,0.15430882066428114,12.29,24.69,121.3,58.1,2.92,1.5,509.252,60.306,76.354,401.065,1.66
0.9574851883550393,0.288482432880609,1.12,6.67,187.6,73.4,3.23,1.68,442.373,62.567,63.527,417.425,1.78
0.998666816288476,0.051619667223253764,1.25,4.45,176.6,95.3,3.36,2.17,387.158,60.739,32.284,385.231,1.75
1.0,0.0,1.28,5.66,56.1,25.8,2.03,0.93,412.094,59.739,77.029,375.265,0.92
0.901501684131884,0.4327755925504312,1.28,6.47,73.9,35.8,2.4,0.93,410.409,59.943,76.302,386.372,1.12
0.9291414114031743,0.36972454289067314,35.37,6.76,35.0,35.1,1.73,0.73,446.444,49.193,61.232,262.066,0.7
0.9668478136052775,0.255353295116187,1.18,6.95,24.0,14.1,1.9,1.27,278.695,32.388,61.849,187.794,1.01
0.9821256058680006,0.18822670984324422,1.18,5.04,199.6,124.3,3.57,1.95,341.491,47.482,45.26,244.614,2.1
0.9088176373395029,0.4171936026123168,1.18,4.51,36.4,10.4,1.67,0.83,196.386,17.494,19.924,340.307,0.82
0.9927487224577402,0.1202080448993527,1.37,7.07,61.0,21.0,1.81,0.76,474.778,61.267,80.207,375.265,0.91
0.9088176373395029,0.4171936026123168,1.17,4.11,46.0,15.9,2.4,1.43,245.074,25.254,47.554,385.991,1.2
0.9623090774541486,0.2719581575341055,10.34,2.52,33.1,15.2,1.81,0.78,436.009,34.984,28.53,200.691,0.95
0.9962981749346078,0.08596479873744647,11.83,11.82,217.5,74.9,3.71,1.81,517.825,60.443,74.286,370.266,2.21
0.9852201067560606,0.1712931441814776,25.53,3.22,35.4,31.7,1.83,1.79,407.608,43.194,40.726,216.011,0.77
0.9088176373395029,0.4171936026123168,6.05,7.2,34.4,13.7,1.96,0.75,410.97,61.037,76.198,317.575,1.05
0.9353679493131483,0.35367612217637157,1.37,5.51,136.0,53.8,2.6,1.41,356.076,19.31,64.885,190.38,1.35
0.869589389346611,0.4937755501599772,0.83,5.77,124.3,54.8,2.69,1.14,463.478,36.889,70.708,323.193,1.58
0.869589389346611,0.4937755501599772,1.18,7.31,47.9,15.7,1.92,1.38,228.31,38.434,24.066,392.119,0.97
0.9750645322571948,0.2219215130041655,1.37,5.1,55.5,32.0,1.87,0.95,395.942,29.56,71.826,191.563,0.9
0.9927487224577402,0.1202080448993527,1.29,4.96,498.5,253.7,5.96,4.39,319.117,60.557,28.591,394.243,3.58
0.893918596519257,0.4482293417404106,1.1,3.66,150.3,74.8,3.19,0.94,194.768,37.4,29.888,364.774,1.78
0.901501684131884,0.4327755925504312,4.26,4.18,30.2,14.8,1.84,0.57,284.396,22.678,32.023,92.191,1.2
0.893918596519257,0.4482293417404106,4.19,3.81,35.0,13.7,1.81,0.57,289.184,22.492,32.284,97.901,1.14
0.9158642882672872,0.401487989205973,1.56,8.36,51.4,20.4,2.02,0.75,484.374,61.891,81.252,426.223,0.99
1.0,0.0,29.59,7.9,34.7,30.7,1.72,0.85,313.13,38.366,66.012,169.72,0.81
0.9088176373395029,0.4171936026123168,1.41,8.02,101.0,22.5,2.24,0.73,470.603,60.785,78.851,390.388,1.17
0.9574851883550393,0.288482432880609,30.39,5.36,213.3,83.5,3.86,2.28,495.249,60.625,59.82,360.786,2.01
0.9880226656636976,0.15430882066428114,25.53,3.44,31.8,25.6,1.75,0.79,366.66,26.715,32.973,231.361,1.0
0.9994074007397048,0.03442161162274574,1.23,4.39,226.7,117.9,4.18,2.57,319.117,51.533,52.434,321.533,2.2
0.9291414114031743,0.36972454289067314,30.28,1.05,52.3,33.7,1.85,1.92,252.739,16.021,28.469,114.438,0.84
0.9905324521322229,0.13727877211326478,1.24,4.36,49.2,25.5,2.38,0.86,328.698,58.395,51.315,317.411,1.15
0.9413173175128471,0.3375228995941133,1.19,11.58,167.2,77.1,3.1,1.76,348.229,59.536,76.51,411.578,1.85
0.886070621534138,0.4635502709028509,24.94,8.89,32.6,26.8,1.55,0.68,462.294,44.031,50.422,358.805,0.8
0.9523775757303975,0.304921224656289,1.28,4.38,42.5,12.9,2.41,0.98,309.165,32.403,41.738,248.765,1.3
0.9998518392091162,0.017213356155834685,1.1,5.85,508.9,214.8,5.21,3.41,344.594,59.289,45.777,398.325,3.65
0.9291414114031743,0.36972454289067314,1.47,3.68,39.5,13.9,2.09,1.34,256.382,29.966,50.591,394.437,0.93
0.9821256058680006,0.18822670984324422,3.17,8.63,111.7,42.3,3.08,0.85,528.887,60.579,68.743,409.976,1.66
0.8779600847008882,0.47873384011578846,9.76,4.23,77.8,16.4,1.6,1.42,392.088,34.32,39.18,242.145,0.86
0.9994074007397048,0.03442161162274574,5.11,7.31,42.5,10.6,1.72,0.79,471.794,51.736,37.597,339.616,0.72
0.9668478136052775,0.255353295116187,19.76,10.35,53.8,23.1,1.4,0.56,341.491,39.536,41.889,210.954,0.71
0.9523775757303975,0.304921224656289,1.17,6.92,406.3,244.5,4.22,4.07,494.037,40.276,65.423,290.832,2.41
0.9750645322571948,0.2219215130041655,1.56,10.3,34.5,17.4,1.63,1.49,526.426,61.475,68.643,411.177,0.8
0.901501684131884,0.4327755925504312,4.91,4.13,17.7,14.3,1.68,1.06,405.932,25.745,36.61,134.953,0.88
0.9787400799669153,0.2051044998686192,9.63,2.5,44.5,15.6,1.74,1.43,441.213,43.538,33.006,251.418,0.78
0.9905324521322229,0.13727877211326478,1.18,7.04,98.9,48.1,2.8,1.12,320.12,41.728,67.694,308.959,1.46
0.9523775757303975,0.304921224656289,1.09,4.89,86.2,30.4,2.9,0.88,471.198,63.675,50.337,420.069,1.44
0.9158642882672872,0.401487989205973,15.49,6.93,31.0,24.2,1.72,0.67,483.171,57.687,81.461,388.28,0.76
0.8779600847008882,0.47873384011578846,1.37,3.35,18.6,15.1,2.13,0.79,511.698,61.729,80.991,355.046,0.97
0.9523775757303975,0.304921224656289,15.0,3.32,40.9,23.0,1.63,1.57,402.033,35.031,37.633,228.713,0.8
0.9880226656636976,0.15430882066428114,1.17,4.98,18.7,10.1,1.73,0.72,426.826,37.333,53.962,160.705,0.82
0.9623090774541486,0.2719581575341055,20.47,10.33,42.3,21.8,1.61,0.74,451.702,43.05,59.307,299.879,0.71
0.869589389346611,0.4937755501599772,1.09,8.29,138.0,45.8,3.67,1.07,458.752,62.755,43.613,408.38,2.11
0.9821256058680006,0.18822670984324422,1.59,5.94,43.0,20.8,1.85,0.92,415.472,59.109,78.225,357.907,0.97
0.9088176373395029,0.4171936026123168,2.96,4.97,69.5,33.4,2.58,0.9,492.221,57.82,64.059,275.677,1.26
0.901501684131884,0.4327755925504312,19.88,0.59,18.5,18.9,1.5,1.53,161.587,10.902,9.683,171.269,0.61
0.9291414114031743,0.36972454289067314,1.37,8.11,49.4,21.1,1.8,0.74,469.412,60.351,78.746,390.772,0.99
0.9469877530760753,0.3212696616923644,1.29,5.63,81.7,41.1,2.12,1.34,423.975,25.082,58.612,201.423,1.13
0.9158642882672872,0.401487989205973,1.37,7.48,124.6,44.1,3.68,0.89,523.351,63.438,49.748,408.58,1.98
0.9998518392091162,0.017213356155834685,4.91,1.84,11.8,7.0,1.44,1.14,130.737,5.625,14.953,100.583,0.72
0.9353679493131483,0.35367612217637157,1.6,7.02,148.2,65.6,3.05,1.49,509.252,62.38,57.738,381.823,1.83
0.9946708199115211,0.10310169744743485,1.27,5.51,102.0,49.9,2.77,1.64,326.671,45.566,44.55,243.789,1.64
0.9821256058680006,0.18822670984324422,1.28,4.82,54.2,24.2,2.01,0.8,466.441,60.854,78.33,407.783,0.95
1.0,0.0,1.42,8.95,113.0,46.0,2.78,1.16,461.112,59.875,77.549,408.978,1.5
0.9413173175128471,0.3375228995941133,0.9,8.12,73.3,54.3,1.91,1.84,221.408,30.038,59.774,152.907,1.15
0.9088176373395029,0.4171936026123168,1.18,5.68,67.5,32.5,2.4,0.95,281.065,16.176,56.011,166.975,1.26
1.0,0.0,19.88,7.87,46.7,27.3,1.76,0.71,500.107,48.859,57.829,362.413,0.73
0.9469877530760753,0.3212696616923644,1.09,2.82,44.1,18.2,2.2,1.4,255.469,29.575,50.253,395.6,1.04
0.9623090774541486,0.2719581575341055,3.24,4.63,48.9,22.3,2.31,0.82,493.431,61.961,67.794,276.571,1.04
0.9574851883550393,0.288482432880609,1.24,4.11,151.1,54.0,5.02,1.3,340.46,57.82,54.981,365.867,2.99
0.9413173175128471,0.3375228995941133,19.88,7.52,205.4,85.8,3.74,2.26,492.221,60.42,60.383,361.328,1.98
0.9711000518829505,0.2386727660059501,30.13,7.87,34.0,29.8,1.52,0.82,284.873,48.859,54.981,170.272,0.8
0.9905324521322229,0.13727877211326478,1.18,8.4,85.1,38.7,2.7,0.94,399.259,59.109,73.72,408.181,1.4
0.9946708199115211,0.10310169744743485,1.29,4.24,23.9,19.1,1.9,0.79,496.463,62.008,71.724,250.019,0.93
0.9413173175128471,0.3375228995941133,1.37,6.6,44.5,18.8,1.72,0.75,468.223,60.192,78.799,394.243,0.84
0.901501684131884,0.4327755925504312,1.37,9.37,81.1,36.2,2.42,0.86,457.574,58.373,77.341,409.777,1.37
0.893918596519257,0.4482293417404106,1.28,7.77,32.5,18.2,1.78,0.91,417.732,57.489,78.903,343.599,0.97
0.9927487224577402,0.1202080448993527,0.76,4.76,58.2,57.2,1.93,1.21,291.59,20.856,34.646,128.372,1.17
0.9088176373395029,0.4171936026123168,20.51,8.15,27.5,23.3,1.68,0.68,255.925,31.754,60.618,101.24,0.9
0.9158642882672872,0.401487989205973,1.28,6.85,37.5,20.4,1.74,0.91,417.167,57.775,78.746,346.041,0.88
0.9787400799669153,0.2051044998686192,24.7,9.37,28.7,27.2,1.48,0.63,356.076,41.287,48.086,177.545,0.54
0.9946708199115211,0.10310169744743485,17.15,11.93,196.6,73.3,3.7,1.83,518.438,60.238,74.389,371.004,2.17
0.9927487224577402,0.1202080448993527,24.96,5.04,25.1,20.5,1.55,1.67,196.791,17.055,17.579,228.581,0.58
0.9998518392091162,0.017213356155834685,14.72,8.35,96.3,35.4,2.24,0.87,522.122,60.351,80.051,350.963,1.18
0.9158642882672872,0.401487989205973,10.0,4.25,50.4,17.2,1.61,1.41,394.839,34.257,38.492,235.234,0.87
0.9291414114031743,0.36972454289067314,0.69,5.18,149.9,76.0,2.62,1.64,388.251,20.975,57.829,207.954,1.63
0.9946708199115211,0.10310169744743485,1.27,5.0,33.4,15.4,2.07,1.54,411.532,24.339,39.252,128.748,1.08
0.9291414114031743,0.36972454289067314,1.19,5.3,165.1,92.3,2.86,1.41,435.433,37.037,56.734,160.171,1.4
0.9469877530760753,0.3212696616923644,0.92,8.13,74.7,63.5,1.96,1.83,220.551,29.908,59.587,152.18,1.18
0.9787400799669153,0.2051044998686192,1.09,7.19,425.0,233.1,5.85,3.77,293.521,34.588,64.788,219.337,3.0
0.9623090774541486,0.2719581575341055,10.25,7.72,31.3,25.4,1.72,0.75,408.727,57.775,77.393,325.526,1.02
0.9994074007397048,0.03442161162274574,1.14,5.95,136.3,66.9,2.49,1.43,368.794,38.72,67.694,206.093,1.45
0.9711000518829505,0.2386727660059501,17.85,5.89,175.0,72.6,3.6,2.14,493.431,57.775,61.754,257.203,1.9
0.901501684131884,0.4327755925504312,14.64,2.68,43.6,19.2,1.59,1.54,426.826,38.855,34.612,215.374,0.75
0.9998518392091162,0.017213356155834685,1.09,7.74,27.8,16.7,1.96,1.27,275.392,31.649,60.665,169.941,1.02
0.9623090774541486,0.2719581575341055,1.11,3.74,30.0,53.9,1.46,1.6,317.616,18.69,37.066,116.031,0.81
0.9962981749346078,0.08596479873744647,5.95,4.38,34.1,17.3,1.51,0.82,326.671,9.404,48.788,122.708,0.84
0.893918596519257,0.4482293417404106,11.53,6.87,45.4,16.9,1.75,0.69,511.086,58.284,47.881,371.927,0.79
0.9998518392091162,0.017213356155834685,14.84,7.27,44.5,18.4,1.64,0.67,453.46,47.06,33.837,273.895,0.78
0.9088176373395029,0.4171936026123168,1.28,22.55,115.8,33.9,3.02,0.98,472.987,62.101,78.903,412.38,1.66
1.0,0.0,0.88,5.62,158.9,67.7,2.69,1.18,364.001,57.775,42.269,342.904,1.86
0.9962981749346078,0.08596479873744647,1.37,6.53,54.3,20.7,1.8,0.84,474.778,61.336,80.103,381.069,0.82
0.9226395488404876,0.3856634062436071,0.9,4.66,142.0,51.0,2.92,1.06,465.848,63.675,59.075,436.86,1.82
0.9880226656636976,0.15430882066428114,15.03,3.35,27.2,17.1,1.5,0.78,317.116,20.127,36.365,180.733,0.8
0.9668478136052775,0.255353295116187,1.11,12.45,125.9,46.1,2.35,1.04,330.222,51.411,68.793,318.068,1.5
0.886070621534138,0.4635502709028509,20.22,7.15,45.4,14.1,1.76,0.7,509.252,57.974,47.472,369.898,0.81
0.9962981749346078,0.08596479873744647,1.18,4.47,83.2,46.3,3.0,2.2,206.643,18.757,21.155,352.734,1.54
0.9998518392091162,0.017213356155834685,6.49,7.58,21.5,10.0,1.5,1.23,202.511,29.001,42.498,69.083,0.87
