Acumulado;Fechaacumulado;fecha
62,497;1997-02-2708:00:00;1997-02-27-00:00:00
62,591;1997-02-2808:00:00;1997-02-28-00:00:00
62,614;1997-03-0108:00:00;1997-03-01-00:00:00
62,638;1997-03-0208:00:00;1997-03-02-00:00:00
62,661;1997-03-0308:00:00;1997-03-03-00:00:00
62,661;1997-03-0408:00:00;1997-03-04-00:00:00
62,684;1997-03-0508:00:00;1997-03-05-00:00:00
62,778;1997-03-0608:00:00;1997-03-06-00:00:00
62,778;1997-03-0708:00:00;1997-03-07-00:00:00
62,755;1997-03-0808:00:00;1997-03-08-00:00:00
62,731;1997-03-0908:00:00;1997-03-09-00:00:00
62,708;1997-03-1008:00:00;1997-03-10-00:00:00
62,708;1997-03-1108:00:00;1997-03-11-00:00:00
62,684;1997-03-1208:00:00;1997-03-12-00:00:00
61,706;1997-03-2908:00:00;1997-03-29-00:00:00
61,637;1997-03-3008:00:00;1997-03-30-00:00:00
61,521;1997-03-3108:00:00;1997-03-31-00:00:00
61,452;1997-04-0108:00:00;1997-04-01-00:00:00
61,359;1997-04-0208:00:00;1997-04-02-00:00:00
61,221;1997-04-0308:00:00;1997-04-03-00:00:00
61,083;1997-04-0408:00:00;1997-04-04-00:00:00
60,877;1997-04-0508:00:00;1997-04-05-00:00:00
60,671;1997-04-0608:00:00;1997-04-06-00:00:00
60,488;1997-04-0708:00:00;1997-04-07-00:00:00
60,283;1997-04-0808:00:00;1997-04-08-00:00:00
60,079;1997-04-0908:00:00;1997-04-09-00:00:00
59,875;1997-04-1008:00:00;1997-04-10-00:00:00
59,671;1997-04-1108:00:00;1997-04-11-00:00:00
59,401;1997-04-1208:00:00;1997-04-12-00:00:00
59,109;1997-04-1308:00:00;1997-04-13-00:00:00
58,796;1997-04-1408:00:00;1997-04-14-00:00:00
58,484;1997-04-1508:00:00;1997-04-15-00:00:00
58,173;1997-04-1608:00:00;1997-04-16-00:00:00
57,886;1997-04-1708:00:00;1997-04-17-00:00:00
57,577;1997-04-1808:00:00;1997-04-18-00:00:00
57,358;1997-04-1908:00:00;1997-04-19-00:00:00
57,183;1997-04-2008:00:00;1997-04-20-00:00:00
57,161;1997-04-2108:00:00;1997-04-21-00:00:00
57,117;1997-04-2208:00:00;1997-04-22-00:00:00
57,052;1997-04-2308:00:00;1997-04-23-00:00:00
56,964;1997-04-2408:00:00;1997-04-24-00:00:00
56,746;1997-04-2508:00:00;1997-04-25-00:00:00
56,486;1997-04-2608:00:00;1997-04-26-00:00:00
56,204;1997-04-2708:00:00;1997-04-27-00:00:00
55,924;1997-04-2808:00:00;1997-04-28-00:00:00
55,645;1997-04-2908:00:00;1997-04-29-00:00:00
