Acumulado;Fechaacumulado;fecha
73,207;1997-02-2708:00:00;1997-02-27-00:00:00
73,566;1997-02-2808:00:00;1997-02-28-00:00:00
73,926;1997-03-0108:00:00;1997-03-01-00:00:00
74,234;1997-03-0208:00:00;1997-03-02-00:00:00
74,595;1997-03-0308:00:00;1997-03-03-00:00:00
74,905;1997-03-0408:00:00;1997-03-04-00:00:00
75,266;1997-03-0508:00:00;1997-03-05-00:00:00
75,577;1997-03-0608:00:00;1997-03-06-00:00:00
75,887;1997-03-0708:00:00;1997-03-07-00:00:00
76,198;1997-03-0808:00:00;1997-03-08-00:00:00
76,51;1997-03-0908:00:00;1997-03-09-00:00:00
76,821;1997-03-1008:00:00;1997-03-10-00:00:00
77,081;1997-03-1108:00:00;1997-03-11-00:00:00
77,393;1997-03-1208:00:00;1997-03-12-00:00:00
80,73;1997-03-2908:00:00;1997-03-29-00:00:00
80,782;1997-03-3008:00:00;1997-03-30-00:00:00
80,886;1997-03-3108:00:00;1997-03-31-00:00:00
80,939;1997-04-0108:00:00;1997-04-01-00:00:00
80,991;1997-04-0208:00:00;1997-04-02-00:00:00
81,565;1997-04-1608:00:00;1997-04-16-00:00:00
81,565;1997-04-1708:00:00;1997-04-17-00:00:00
81,565;1997-04-1808:00:00;1997-04-18-00:00:00
81,722;1997-04-1908:00:00;1997-04-19-00:00:00
81,774;1997-04-2008:00:00;1997-04-20-00:00:00
81,931;1997-04-2108:00:00;1997-04-21-00:00:00
81,826;1997-04-2208:00:00;1997-04-22-00:00:00
81,826;1997-04-2308:00:00;1997-04-23-00:00:00
81,826;1997-04-2408:00:00;1997-04-24-00:00:00
81,826;1997-04-2508:00:00;1997-04-25-00:00:00
81,826;1997-04-2608:00:00;1997-04-26-00:00:00
81,774;1997-04-2708:00:00;1997-04-27-00:00:00
81,826;1997-04-2808:00:00;1997-04-28-00:00:00
81,774;1997-04-2908:00:00;1997-04-29-00:00:00
81,67;1997-04-3008:00:00;1997-04-30-00:00:00
81,618;1997-05-0108:00:00;1997-05-01-00:00:00
81,618;1997-05-0208:00:00;1997-05-02-00:00:00
81,565;1997-05-0308:00:00;1997-05-03-00:00:00
81,565;1997-05-0408:00:00;1997-05-04-00:00:00
81,565;1997-05-0508:00:00;1997-05-05-00:00:00
81,618;1997-05-0608:00:00;1997-05-06-00:00:00
81,618;1997-05-0708:00:00;1997-05-07-00:00:00
81,513;1997-05-0808:00:00;1997-05-08-00:00:00
81,67;1997-05-0908:00:00;1997-05-09-00:00:00
81,513;1997-05-1008:00:00;1997-05-10-00:00:00
81,513;1997-05-1108:00:00;1997-05-11-00:00:00
81,461;1997-05-1208:00:00;1997-05-12-00:00:00
81,774;1997-05-1308:00:00;1997-05-13-00:00:00
81,461;1997-05-1408:00:00;1997-05-14-00:00:00
81,931;1997-05-1508:00:00;1997-05-15-00:00:00
81,983;1997-05-1608:00:00;1997-05-16-00:00:00
82,088;1997-05-1708:00:00;1997-05-17-00:00:00
82,296;1997-05-1808:00:00;1997-05-18-00:00:00
82,296;1997-05-1908:00:00;1997-05-19-00:00:00
82,296;1997-05-2008:00:00;1997-05-20-00:00:00
82,244;1997-05-2108:00:00;1997-05-21-00:00:00
