day_cos,day_sin,aforo_Arroyo,aforo_Calatayud,aforo_Mendavia,aforo_Miranda,aforo_castejon,aforo_palazuelos,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
0.5123714121284235,-0.8587639582758031,1.08,8.09,45.8,13.6,1.59,1.56,1.08,8.09,45.8,13.6,62.0,18.8,1.03
0.5270777086423716,-0.8498170915275282,1.11,8.48,38.6,12.2,1.49,1.56,1.11,8.48,38.6,12.2,47.0,18.8,0.96
0.5416278206559811,-0.8406184056344783,1.11,8.73,39.3,11.8,1.45,1.56,1.11,8.73,39.3,11.8,43.0,18.8,0.93
0.5560174366570438,-0.8311706263658084,1.11,9.78,34.9,12.2,1.44,1.56,1.11,9.78,34.9,12.2,42.0,18.8,0.95
0.5702422926917867,-0.8214765533024145,1.11,10.05,37.1,12.9,1.42,1.56,1.11,10.05,37.1,12.9,41.0,18.93,0.94
0.5842981736283683,-0.8115390590073611,1.11,11.33,50.4,65.1,1.63,2.68,1.11,11.33,50.4,65.1,71.0,116.94,1.15
0.5981809144059166,-0.8013610881746764,1.11,11.97,203.4,190.9,3.2,4.62,1.11,11.97,203.4,190.9,377.0,287.37,2.01
0.6118864012687242,-0.7909456567567774,1.08,10.9,231.7,85.4,3.08,2.78,1.08,10.9,231.7,85.4,346.0,108.29,1.96
0.6254105729852464,-0.7802958510707755,1.11,10.39,151.0,68.7,2.71,2.65,1.11,10.39,151.0,68.7,259.0,95.29,1.76
0.6387494220515268,-0.7694148268839381,1.07,10.85,160.5,67.8,2.8,2.39,1.07,10.85,160.5,67.8,279.0,72.81,1.79
0.6518989958787125,-0.7583058084785625,1.05,10.69,157.9,57.0,2.5,1.95,1.05,10.69,157.9,57.0,218.0,37.58,1.61
0.6648553979642859,-0.7469720876965557,1.11,12.02,158.4,38.8,2.55,2.09,1.11,12.02,158.4,38.8,228.0,47.5,1.65
0.6901733882429714,-0.723644038295913,1.11,11.05,112.2,40.8,2.29,1.76,1.11,11.05,112.2,40.8,177.0,28.04,1.56
0.7025274741691566,-0.7116566222817751,1.11,10.6,106.1,40.4,2.19,1.93,1.11,10.6,106.1,40.4,158.0,36.58,1.4
0.7146733860429609,-0.6994583270516471,1.08,10.52,103.0,39.5,2.12,1.88,1.08,10.52,103.0,39.5,146.0,33.93,1.35
0.7266075247685657,-0.6870527672236668,1.05,10.14,100.2,33.0,2.08,1.81,1.05,10.14,100.2,33.0,138.0,30.23,1.33
0.7383263540031063,-0.6744436188329457,1.11,10.02,88.3,22.0,2.04,1.76,1.11,10.02,88.3,22.0,130.0,28.06,1.31
0.7498264012045686,-0.6616346182422783,1.11,9.89,78.0,23.6,2.0,1.8,1.11,9.89,78.0,23.6,123.0,30.04,1.28
0.7611042586607742,-0.6486295610349818,1.11,9.96,79.4,26.9,2.05,1.89,1.11,9.96,79.4,26.9,132.0,34.55,1.3
0.7721565844991641,-0.6354323008901775,1.11,10.45,82.3,28.4,2.01,1.83,1.11,10.45,82.3,28.4,123.0,31.53,1.28
0.7829801036770625,-0.622046748440868,1.11,10.39,85.0,26.5,1.99,1.78,1.11,10.39,85.0,26.5,121.0,29.03,1.28
0.7935716089521472,-0.6084768701151264,1.11,11.5,83.3,24.2,1.99,1.76,1.11,11.5,83.3,24.2,120.0,28.23,1.27
0.8039279618328213,-0.5947266869607633,1.11,11.52,76.6,21.3,1.95,1.74,1.11,11.52,76.6,21.3,115.0,27.2,1.25
0.8140460935082175,-0.5808002734538013,1.11,11.14,73.5,17.4,1.94,1.72,1.11,11.14,73.5,17.4,112.0,25.99,1.25
0.8239230057575542,-0.5667017562911177,1.11,11.01,68.8,16.4,1.92,1.7,1.11,11.01,68.8,16.4,109.0,25.23,1.24
0.83355577183857,-0.5524353131676195,1.11,11.0,68.1,32.1,2.02,1.69,1.11,11.0,68.1,32.1,126.0,24.38,1.29
0.8429415373547827,-0.5380051715383,1.11,10.7,86.7,28.2,2.03,1.67,1.11,10.7,86.7,28.2,128.0,23.62,1.27
0.9574851883550393,-0.288482432880609,1.11,15.35,136.5,57.0,2.41,1.18,1.11,15.35,136.5,57.0,201.0,7.9,1.53
